Contig:MEG_7213xxDrugsxxTetracyclinesxxTetracycline_resistance_ribosomal_protection_proteinsxxTETW,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2
210	0:0.99	1:1.00	1:0.99
592	0:0.99	1:0.90	0:0.97
602	0:0.98	1:0.98	1:0.98
617	0:0.99	1:0.98	1:0.99
645	0:0.99	1:0.99	0:0.98
652	0:1.00	1:0.96	0:0.98
669	0:1.00	1:0.98	1:0.99
736	0:0.99	1:0.99	1:0.97
768	0:0.99	1:0.99	1:0.98
774	0:0.99	1:0.99	1:0.97
777	0:0.99	1:0.98	1:0.97
808	0:0.99	1:0.98	1:0.99
929	0:1.00	1:0.96	1:0.96
989	0:0.99	1:0.93	1:0.94
1017	0:1.00	1:1.00	1:0.98
1249	0:1.00	0:0.99	1:0.99
1269	0:1.00	0:1.00	1:0.98
1335	0:0.99	0:0.99	1:0.96
1357	0:1.00	0:0.99	1:0.99
1593	0:0.98	0:0.99	1:0.95
1602	0:1.00	0:1.00	1:0.98
1628	0:1.00	0:1.00	1:0.99
1643	0:0.99	0:0.99	1:0.95
1650	0:1.00	0:0.99	1:0.99
1703	0:1.00	0:0.99	1:0.98
1799	0:1.00	0:1.00	1:0.95
1800	0:1.00	0:0.99	0:0.88
1818	0:1.00	0:1.00	1:0.99
1827	0:1.00	0:0.99	1:0.99
1845	0:1.00	0:0.99	1:1.00
1846	0:1.00	0:1.00	1:0.92
1851	0:1.00	0:1.00	1:0.97
1897	0:1.00	0:0.99	1:0.99
1912	0:1.00	0:0.99	1:0.96
