Contig:MEG_7115xxDrugsxxTetracyclinesxxTetracycline_resistance_ribosomal_protection_proteinsxxTETM,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11	Haplotype:12
22	1:0.98	1:0.99	1:1.00	1:0.95	0:1.00	1:0.97	1:0.99	1:0.98	1:0.99	1:1.00	1:0.93	1:0.92	0:1.00
49	1:0.97	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99
272	1:0.94	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.97	0:0.99	0:0.99
490	1:0.96	0:0.99	0:0.99	1:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99
627	0:0.99	1:0.99	0:1.00	0:0.98	0:0.99	1:0.99	0:0.99	1:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99
636	0:1.00	1:0.99	0:0.99	0:1.00	0:0.99	1:0.99	0:1.00	1:0.98	1:0.99	0:1.00	0:1.00	0:1.00	0:1.00
646	0:0.99	1:0.99	1:0.98	0:1.00	1:0.97	1:0.98	0:0.99	1:0.99	1:0.97	0:1.00	0:1.00	0:0.99	0:1.00
654	0:1.00	1:1.00	1:0.98	0:0.98	1:0.99	1:0.99	0:0.99	1:0.99	1:0.98	0:1.00	0:0.98	0:0.99	0:1.00
668	0:0.99	1:0.99	1:0.98	0:0.98	1:0.98	1:0.98	0:0.98	1:0.98	1:0.98	0:1.00	0:0.99	0:0.99	0:0.98
669	0:0.99	1:0.98	1:0.98	0:0.99	1:0.98	1:0.99	0:0.99	1:0.98	1:0.97	0:1.00	0:1.00	0:1.00	0:1.00
699	0:0.99	1:0.96	1:0.96	0:0.99	1:0.97	1:0.97	0:0.99	1:0.96	1:0.97	0:0.93	0:0.97	0:0.99	0:1.00
705	0:1.00	1:1.00	1:0.98	0:0.97	1:0.99	1:0.98	0:0.98	1:0.98	1:0.98	0:1.00	0:0.98	0:0.97	0:0.99
737	0:1.00	1:0.95	1:0.94	0:0.99	1:0.97	0:1.00	0:0.99	0:1.00	1:0.97	0:1.00	0:0.99	0:0.99	0:0.99
756	0:0.99	1:0.98	1:0.99	0:1.00	1:0.98	0:0.99	0:1.00	0:1.00	1:0.99	0:1.00	0:1.00	0:0.99	0:0.99
771	0:1.00	0:1.00	1:0.97	0:0.99	1:0.96	0:0.99	0:0.98	0:1.00	1:0.98	0:0.94	0:0.99	0:0.97	0:0.99
