Contig:MEG_7115xxDrugsxxTetracyclinesxxTetracycline_resistance_ribosomal_protection_proteinsxxTETM,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11	Haplotype:12	Haplotype:13
22	1:1.00	1:0.99	0:1.00	1:0.93	1:0.98	1:1.00	1:0.97	1:0.95	1:0.92	1:0.98	1:0.97	0:1.00	1:0.98	0:0.99
49	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	1:0.97	0:1.00	0:1.00	0:0.99	0:0.99
272	0:0.99	0:1.00	0:0.99	0:0.97	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	1:0.94	0:0.99	0:1.00	0:0.99	0:1.00
490	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	1:0.98	0:0.99	1:0.96	0:0.99	1:1.00	0:0.99	0:1.00
569	0:0.99	1:0.98	0:1.00	0:0.99	0:1.00	0:0.97	0:1.00	0:0.97	0:0.96	0:0.99	0:0.99	1:1.00	0:1.00	0:0.99
581	0:0.99	1:0.98	0:0.99	0:0.99	0:1.00	0:0.98	0:0.99	0:0.98	0:0.98	0:0.98	0:0.99	0:1.00	0:0.99	0:0.99
627	0:1.00	1:0.98	0:0.99	0:1.00	0:0.97	0:0.99	0:0.99	0:0.98	0:1.00	0:0.99	1:0.99	-	1:0.99	0:0.99
636	0:0.99	1:0.99	0:1.00	0:1.00	1:0.97	0:1.00	1:0.99	0:1.00	0:1.00	0:1.00	1:0.99	-	1:0.98	0:0.99
646	1:0.98	1:0.99	0:1.00	0:1.00	1:0.96	0:0.99	1:0.97	0:1.00	0:0.99	0:0.99	1:0.98	-	1:0.99	1:0.97
654	1:0.98	1:1.00	0:1.00	0:0.98	1:0.98	0:0.99	1:0.98	0:0.98	0:0.99	0:1.00	1:0.99	-	1:0.99	1:0.99
668	1:0.98	1:0.99	0:0.98	0:0.99	1:1.00	0:0.98	1:0.98	0:0.98	0:0.99	0:0.99	1:0.98	-	1:0.98	1:0.98
669	1:0.98	1:0.98	0:1.00	0:1.00	1:0.97	0:0.99	1:0.97	0:0.99	0:1.00	0:0.99	1:0.99	-	1:0.98	1:0.98
699	1:0.96	1:0.96	0:1.00	0:0.97	1:0.91	0:0.99	1:0.97	0:0.99	0:0.99	0:0.99	1:0.97	-	1:0.96	1:0.97
705	1:0.98	1:1.00	0:0.99	0:0.98	1:0.98	0:0.98	1:0.98	0:0.97	0:0.97	0:1.00	1:0.98	-	1:0.98	1:0.99
737	1:0.94	1:0.96	0:0.99	0:0.99	1:0.97	0:0.99	1:0.97	0:0.99	0:0.99	0:1.00	0:1.00	-	0:1.00	1:0.97
756	1:0.99	1:0.98	0:0.99	0:1.00	1:1.00	0:1.00	1:0.99	0:1.00	0:0.99	0:0.99	0:0.99	-	0:0.99	1:0.98
771	1:0.97	0:1.00	0:0.99	0:0.99	1:0.97	0:0.98	1:0.98	0:0.99	0:0.97	0:1.00	0:0.99	-	0:1.00	1:0.96
775	1:0.99	0:0.98	0:0.99	0:1.00	1:0.97	0:1.00	1:0.97	0:1.00	0:0.99	0:1.00	0:1.00	-	0:0.99	1:0.99
777	1:0.99	0:0.99	0:1.00	0:1.00	1:0.98	0:0.99	1:0.99	0:0.99	0:0.98	0:0.99	0:0.99	-	0:0.99	1:0.99
778	1:0.96	0:0.98	0:1.00	0:1.00	1:0.90	0:0.99	1:0.96	0:0.99	0:0.99	0:0.99	0:0.99	-	0:1.00	1:0.98
