Contig:MEG_3690xxDrugsxxLipopeptidesxxColistin_phosphoethanolamine_transferasexxMCR,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7
30	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	1:0.99	0:1.00
36	0:0.99	0:0.99	0:0.99	0:0.99	0:0.98	0:0.99	1:0.97	0:1.00
39	0:0.99	0:0.97	0:1.00	0:0.99	0:1.00	0:1.00	1:0.99	0:1.00
42	1:1.00	0:1.00	0:0.98	0:0.99	0:0.99	0:0.97	1:0.98	0:1.00
67	1:0.98	0:1.00	1:0.98	0:1.00	1:1.00	1:1.00	1:0.99	1:1.00
105	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	1:0.95	0:1.00
111	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	1:0.98	0:1.00
129	0:0.99	0:0.99	0:0.98	0:0.99	0:0.98	0:0.99	1:0.97	0:1.00
177	0:0.99	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99	1:0.98	0:1.00
182	0:1.00	0:0.99	0:0.99	0:1.00	0:0.98	0:0.99	1:0.97	0:1.00
211	0:1.00	0:0.99	0:0.99	0:1.00	0:0.98	0:0.99	1:0.90	0:1.00
246	0:0.99	0:0.99	0:1.00	0:1.00	0:0.98	0:0.99	1:0.99	0:1.00
336	0:0.99	0:0.98	0:0.98	0:1.00	0:1.00	0:0.99	1:0.99	0:1.00
351	0:0.99	0:1.00	0:1.00	0:1.00	0:0.98	0:0.99	1:0.99	0:1.00
354	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	1:0.98	0:1.00
365	0:1.00	0:0.98	0:1.00	0:1.00	0:1.00	0:0.99	1:0.98	0:1.00
380	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	1:0.98	0:1.00
384	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	1:0.96	0:1.00
441	0:0.98	0:0.99	0:1.00	0:0.99	0:0.98	0:0.96	1:0.97	0:1.00
459	0:0.99	0:0.99	0:0.99	0:0.99	0:0.96	0:0.99	1:0.96	0:1.00
461	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	1:0.96	0:1.00
480	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.99	0:1.00
528	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	1:1.00	0:1.00
564	0:0.99	0:0.98	0:1.00	0:0.99	0:0.98	0:0.98	1:0.99	0:1.00
573	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	1:0.98	0:1.00
582	0:1.00	0:1.00	0:0.98	0:1.00	0:0.97	0:0.96	1:0.96	0:1.00
603	0:0.99	0:0.99	0:0.99	0:0.99	0:0.97	0:0.97	1:0.96	0:1.00
609	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	1:1.00	0:1.00
624	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	1:0.98	0:1.00
642	0:1.00	0:1.00	0:0.99	0:0.98	0:1.00	0:0.99	1:0.99	0:1.00
676	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.97	0:1.00
699	0:0.99	0:1.00	0:0.98	0:1.00	0:0.98	0:0.99	1:0.95	0:1.00
717	0:0.99	0:1.00	0:1.00	0:0.99	0:0.97	0:0.98	1:0.96	0:1.00
759	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.98	1:0.99	0:1.00
