Contig:MEG_2804xxDrugsxxMLSxx23S_rRNA_methyltransferasesxxERMB,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6
41	1:0.98	0:0.99	0:0.99	0:0.99	1:1.00	0:1.00	0:1.00
48	0:0.98	0:1.00	0:0.98	0:0.98	1:0.93	1:0.90	0:0.98
222	1:0.98	0:0.99	1:0.97	0:1.00	0:0.99	0:0.99	1:0.99
224	1:0.98	0:1.00	1:0.97	0:0.99	0:1.00	0:1.00	1:0.95
299	0:0.99	0:1.00	1:0.99	0:0.96	1:0.97	1:0.96	0:0.98
353	0:0.99	0:0.99	1:0.99	0:0.99	0:1.00	0:0.99	1:0.97
454	0:0.99	0:0.99	0:0.99	0:1.00	0:0.98	0:0.99	1:0.99
477	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	1:0.99
512	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	1:0.99
564	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.98	1:0.99
649	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	1:1.00
664	0:0.99	0:0.98	0:0.99	0:0.97	0:0.97	0:0.97	1:0.93
676	0:1.00	0:1.00	1:0.99	1:1.00	0:0.99	0:0.99	0:0.99
