Contig:MEG_7213xxDrugsxxTetracyclinesxxTetracycline_resistance_ribosomal_protection_proteinsxxTETW,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2
210	1:1.00	1:0.99	0:0.99
550	1:0.99	1:0.94	0:1.00
592	1:0.90	0:0.97	0:0.99
602	1:0.98	1:0.98	0:0.98
617	1:0.98	1:0.99	0:0.99
645	1:0.99	0:0.98	0:0.99
652	1:0.96	0:0.98	0:1.00
669	1:0.98	1:0.99	0:1.00
736	1:0.99	1:0.97	0:0.99
768	1:0.99	1:0.98	0:0.99
774	1:0.99	1:0.97	0:0.99
777	1:0.98	1:0.97	0:0.99
808	1:0.98	1:0.99	0:0.99
929	1:0.96	1:0.96	0:1.00
989	1:0.93	1:0.94	0:0.99
1017	1:1.00	1:0.98	0:1.00
1249	0:0.99	1:0.99	0:1.00
1269	0:1.00	1:0.98	0:1.00
1335	0:0.99	1:0.96	0:0.99
1357	0:0.99	1:0.99	0:1.00
1593	0:0.99	1:0.95	0:0.98
1602	0:1.00	1:0.98	0:1.00
1628	0:1.00	1:0.99	0:1.00
1643	0:0.99	1:0.95	0:0.99
1650	0:0.99	1:0.99	0:1.00
1703	0:0.99	1:0.98	0:1.00
1799	0:1.00	1:0.95	0:1.00
1800	0:0.99	0:0.88	0:1.00
1818	0:1.00	1:0.99	0:1.00
1827	0:0.99	1:0.99	0:1.00
1845	0:0.99	1:1.00	0:1.00
1846	0:1.00	1:0.92	0:1.00
1851	0:1.00	1:0.97	0:1.00
1897	0:0.99	1:0.99	0:1.00
1912	0:0.99	1:0.96	0:1.00
