Contig:MEG_1434xxDrugsxxbetalactamsxxClass_A_betalactamasesxxBLAZ,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9
46	1:1.00	0:0.98	0:0.99	0:0.98	1:0.98	0:0.99	0:1.00	0:1.00	0:0.98	0:1.00
96	0:0.97	1:0.73	0:0.95	0:0.98	0:0.99	0:0.97	0:0.93	0:0.96	0:0.99	0:0.96
230	0:0.97	0:1.00	0:0.98	0:1.00	0:1.00	0:1.00	0:0.98	1:0.96	0:0.98	0:0.99
232	0:0.99	0:0.95	0:0.99	0:1.00	0:0.99	0:0.99	0:0.98	0:1.00	1:0.99	0:0.99
345	0:0.99	0:1.00	1:1.00	1:0.99	0:0.99	0:1.00	1:0.97	0:0.99	0:1.00	1:0.99
346	0:1.00	0:1.00	1:1.00	1:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99
360	0:0.99	1:0.77	0:0.99	0:0.99	0:1.00	0:0.98	0:1.00	0:0.97	0:0.99	0:0.99
381	0:1.00	0:0.98	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	1:0.99	0:0.99
435	1:1.00	1:1.00	1:1.00	0:1.00	0:1.00	0:0.98	1:1.00	0:0.78	0:0.82	0:1.00
437	1:0.95	1:0.97	1:0.93	1:0.95	1:0.95	0:0.93	1:0.97	1:0.93	1:0.91	1:0.96
663	0:1.00	1:0.76	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.96	0:1.00	0:0.98
721	0:1.00	1:0.94	1:0.98	1:0.98	0:1.00	0:1.00	1:0.99	1:0.98	1:0.99	1:0.98
817	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	1:0.94	0:1.00	0:1.00	1:0.98
829	1:0.98	1:0.96	1:0.95	1:0.99	1:0.99	0:0.99	1:0.98	1:0.99	1:0.97	1:0.99
