Contig:MEG_6497xxDrugsxxbetalactamsxxClass_A_betalactamasesxxSHV,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10
8	1:0.93	0:1.00	0:1.00	1:0.94	1:0.95	0:1.00	0:1.00	1:0.93	1:1.00	1:0.93	1:0.93
92	0:0.99	0:0.99	0:1.00	1:1.00	0:0.99	0:1.00	0:1.00	1:0.98	0:0.99	0:0.99	0:1.00
227	0:1.00	0:0.99	0:0.98	0:1.00	0:0.99	0:0.98	0:0.98	1:1.00	0:0.97	0:0.99	0:0.99
238	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	1:1.00
299	0:0.99	0:1.00	0:0.99	0:0.99	1:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99
324	1:0.98	0:0.99	0:1.00	1:0.99	0:1.00	0:1.00	0:1.00	1:0.97	0:1.00	0:1.00	0:0.99
357	1:0.99	0:0.99	0:0.99	1:0.96	1:0.96	0:0.99	0:0.99	1:0.99	0:0.99	1:0.99	0:0.99
359	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	1:1.00	0:0.98
503	0:0.99	0:1.00	0:0.98	1:1.00	0:0.97	0:0.97	0:0.98	0:1.00	0:0.98	0:1.00	0:1.00
629	0:1.00	1:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99
633	1:0.98	0:0.99	0:0.90	1:0.99	1:0.99	0:0.99	0:0.98	1:0.98	0:0.99	1:0.99	0:1.00
700	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:1.00	1:0.89	0:0.99	0:1.00	0:1.00	0:1.00
703	0:0.99	0:1.00	0:1.00	0:0.97	0:0.97	0:1.00	1:1.00	0:1.00	0:0.96	0:0.99	0:0.99
786	1:0.95	0:1.00	0:0.90	1:0.92	1:0.94	0:0.99	0:0.98	1:0.96	0:0.99	1:0.96	0:0.99
824	1:0.98	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.98	0:1.00	0:0.99	0:0.99	0:1.00
