Contig:MEG_470xxDrugsxxbetalactamsxxClass_C_betalactamasesxxACT,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11
15	1:0.98	0:1.00	1:0.99	1:0.96	1:0.98	0:1.00	0:0.99	0:1.00	1:0.95	0:1.00	1:0.97	1:0.97
42	0:1.00	0:0.98	0:1.00	0:0.97	0:0.99	0:1.00	0:0.97	0:0.99	0:1.00	0:0.98	0:0.98	1:0.98
61	1:0.99	0:0.98	1:1.00	1:0.97	1:0.98	0:1.00	0:0.97	0:0.99	1:0.97	0:0.98	0:0.99	1:0.97
106	1:0.99	1:1.00	1:0.99	1:0.99	1:0.98	1:0.99	1:1.00	1:0.98	1:0.99	0:0.99	1:0.99	1:0.99
132	1:0.93	0:0.99	1:0.93	1:0.93	1:0.95	0:1.00	0:0.99	0:1.00	1:0.91	0:0.99	1:0.92	1:0.93
133	1:0.98	0:0.99	1:1.00	1:0.97	1:0.98	0:1.00	0:1.00	0:1.00	1:0.96	0:0.99	1:0.98	1:0.98
168	1:0.99	0:0.99	1:0.99	1:0.99	1:0.99	0:0.99	0:0.99	0:0.99	1:0.99	0:0.99	1:1.00	1:0.99
183	1:0.99	1:0.99	1:0.99	1:0.97	1:0.99	1:0.99	1:0.99	1:0.98	1:0.99	0:1.00	1:0.99	1:0.98
195	1:0.94	0:1.00	1:0.97	1:0.96	1:0.96	0:1.00	0:1.00	0:0.99	1:0.96	0:1.00	1:0.94	1:0.95
210	1:0.97	0:0.98	1:0.98	1:0.95	1:0.97	0:1.00	1:0.58	0:0.99	1:0.95	0:0.99	1:0.95	1:0.94
212	1:0.98	0:1.00	1:1.00	1:0.97	1:0.97	0:0.99	1:0.98	0:0.99	1:0.95	0:0.99	1:0.98	1:0.97
213	1:0.99	0:0.99	1:0.97	1:0.98	1:0.98	0:0.99	1:1.00	0:0.99	1:0.99	0:0.99	1:0.99	1:0.98
234	1:0.99	0:0.99	1:1.00	1:0.99	1:0.99	0:0.99	0:0.99	0:1.00	1:0.99	0:0.99	1:0.99	1:0.99
272	1:0.99	0:1.00	0:0.98	0:0.97	1:0.98	0:0.99	0:0.99	0:0.99	0:0.95	0:0.99	0:0.97	0:0.97
273	1:0.98	0:0.99	1:1.00	1:0.98	1:0.98	0:0.99	0:0.99	0:0.99	1:0.94	0:0.99	1:0.98	1:0.98
276	0:0.99	0:0.99	0:1.00	1:0.98	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00
282	1:0.99	0:1.00	1:1.00	1:0.99	1:0.99	1:1.00	1:0.99	0:0.99	1:0.97	0:0.99	1:0.99	1:0.98
343	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	1:0.97	0:1.00
348	0:1.00	1:1.00	0:1.00	0:0.98	0:1.00	0:1.00	1:0.97	0:0.99	0:1.00	0:0.98	0:1.00	0:0.99
369	1:0.96	0:0.99	1:0.99	1:0.95	1:0.96	0:1.00	0:1.00	0:1.00	1:0.96	0:0.99	1:0.96	1:0.96
390	1:0.99	0:0.99	1:0.98	1:0.99	1:0.98	0:0.99	0:1.00	0:0.99	1:0.96	0:0.99	1:0.99	1:0.99
444	1:0.99	0:0.99	1:1.00	1:0.98	1:0.99	0:1.00	0:0.99	0:1.00	1:0.99	0:0.98	1:0.98	1:0.97
448	1:0.98	0:0.99	1:0.99	1:0.99	1:0.98	0:0.99	0:1.00	0:1.00	1:0.99	0:1.00	1:0.97	1:0.97
449	0:0.95	0:1.00	0:0.95	0:0.89	0:0.93	0:0.99	0:0.99	0:0.99	0:0.92	0:1.00	0:0.88	0:0.89
490	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	1:0.97
522	1:0.98	0:0.99	1:0.99	1:0.99	1:0.98	0:0.99	0:1.00	0:0.99	1:0.99	0:0.99	1:1.00	1:0.99
537	1:0.98	0:0.98	1:1.00	1:0.98	1:0.99	0:0.99	0:0.98	0:0.99	1:1.00	0:0.98	1:0.97	1:0.97
545	0:1.00	0:0.98	0:1.00	1:0.97	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:0.98
558	1:0.98	0:0.99	1:0.98	1:0.97	1:0.96	0:0.99	0:0.99	0:0.99	1:0.97	0:0.98	1:0.96	1:0.96
565	1:0.99	0:0.99	1:1.00	1:0.99	1:0.98	0:1.00	0:0.99	0:1.00	1:1.00	0:1.00	1:0.99	1:0.98
566	1:0.99	0:1.00	1:0.98	1:0.98	1:0.99	0:0.99	0:1.00	0:0.99	1:1.00	0:0.99	1:0.99	1:0.98
576	0:0.99	0:0.99	1:0.93	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	1:0.97	0:0.99	0:0.99	0:0.99
622	1:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00
633	1:0.97	0:1.00	1:0.97	1:0.97	1:0.98	0:0.99	0:1.00	0:0.99	1:0.95	0:1.00	1:0.99	1:0.98
702	1:0.99	0:1.00	1:0.96	1:0.99	1:0.98	0:0.99	0:1.00	0:0.99	1:0.97	0:1.00	1:0.99	1:0.98
705	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	1:0.97	0:0.99	0:1.00	0:0.99	0:0.99
786	0:0.99	1:0.99	0:1.00	0:1.00	0:0.99	1:0.98	1:1.00	1:0.98	0:1.00	0:0.99	0:0.99	0:1.00
817	1:0.99	0:0.99	1:1.00	1:0.99	1:0.99	0:0.99	1:1.00	0:1.00	1:0.97	0:0.99	1:0.99	1:0.98
910	1:0.99	0:0.99	1:0.98	1:0.99	1:0.99	0:0.99	0:0.99	0:1.00	1:0.98	0:1.00	1:0.99	1:0.99
915	1:0.99	1:0.99	1:0.99	1:0.99	1:0.99	1:0.99	1:1.00	1:0.99	1:0.97	0:1.00	1:1.00	1:0.99
933	1:0.99	0:1.00	1:1.00	1:0.97	1:0.98	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	1:0.98	1:0.98
936	1:0.99	0:0.99	0:1.00	0:1.00	1:0.98	0:1.00	0:0.98	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99
942	1:0.99	0:0.98	1:0.98	1:0.98	1:0.98	0:1.00	0:0.98	0:0.99	1:0.99	0:0.99	1:0.97	1:0.97
946	1:0.98	0:1.00	1:1.00	1:0.98	1:0.99	0:1.00	0:1.00	0:0.99	1:0.98	0:0.99	1:0.99	1:0.99
956	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	1:0.97	1:0.98
1085	1:0.95	0:1.00	1:0.96	1:0.95	1:0.96	0:1.00	0:1.00	0:0.99	1:0.92	0:1.00	1:0.95	1:0.95
1107	0:1.00	0:0.98	0:0.99	0:0.98	0:1.00	0:1.00	0:0.98	0:0.99	0:0.98	0:0.97	0:0.98	1:0.98
1134	1:0.99	0:1.00	1:0.97	1:0.99	1:0.97	0:0.99	0:1.00	0:1.00	1:0.97	0:0.99	1:0.99	1:0.99
