Contig:MEG_2605xxDrugsxxbetalactamsxxClass_C_betalactamasesxxDHA,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10
5	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	1:0.91	0:1.00	0:1.00	1:0.94	0:1.00
12	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99	0:0.99	1:0.97	0:0.99	0:0.99	2:0.91	0:0.99
13	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	1:0.92	0:1.00
36	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	1:0.99	0:1.00	0:1.00	1:0.98	0:0.99
66	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.99	0:0.99	0:0.99	0:0.99	0:0.99
75	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	1:0.99	0:0.99	0:0.99	0:1.00	0:1.00
86	1:0.97	0:0.97	1:0.96	1:0.98	1:0.98	1:0.99	1:0.98	1:0.96	1:0.96	1:0.99	1:0.98
129	1:0.98	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00
135	0:0.98	0:0.98	0:0.98	1:0.94	0:0.98	0:0.99	0:1.00	0:0.97	0:0.98	0:0.99	0:0.99
156	1:0.95	0:0.98	1:0.96	0:0.98	0:0.98	0:1.00	1:0.96	0:0.98	0:0.99	0:0.99	0:0.99
165	1:0.99	0:0.99	1:0.99	0:1.00	0:1.00	0:1.00	1:0.98	0:1.00	0:1.00	0:0.99	0:0.99
167	1:0.96	0:0.99	0:0.98	0:0.99	0:0.98	0:1.00	0:0.99	0:0.99	0:0.98	0:0.99	0:0.99
186	1:0.97	0:0.99	0:0.99	1:0.98	0:0.99	0:1.00	1:0.98	0:0.99	1:0.98	0:0.99	0:1.00
199	1:0.99	0:1.00	1:0.99	1:0.99	0:0.99	0:0.99	1:0.98	0:1.00	1:0.98	0:1.00	0:0.99
216	0:0.99	0:1.00	0:1.00	1:0.99	0:1.00	0:0.99	0:0.99	0:0.99	1:0.98	0:0.99	0:0.99
243	0:0.98	0:0.97	1:0.96	0:0.98	0:0.97	0:0.98	0:1.00	0:0.97	0:0.97	0:0.96	0:0.98
288	0:0.99	0:0.99	0:0.99	1:0.97	0:0.99	0:0.99	0:1.00	0:0.99	1:0.96	0:0.98	0:1.00
307	0:1.00	0:1.00	1:0.98	1:0.98	0:1.00	0:0.99	1:0.96	0:0.99	0:0.99	0:1.00	0:1.00
308	0:0.99	0:0.98	1:0.99	0:0.98	0:0.98	0:1.00	0:1.00	0:0.99	0:0.98	0:0.99	0:0.99
310	0:1.00	0:1.00	1:0.99	1:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99
318	0:1.00	0:0.99	1:0.99	1:1.00	0:0.99	0:0.98	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99
324	0:0.97	0:0.97	1:0.95	1:0.95	0:0.96	0:1.00	0:0.99	0:0.97	0:0.97	0:0.99	0:0.99
326	0:1.00	0:0.99	1:0.96	1:0.97	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99
333	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	1:0.99	0:1.00	0:0.99
372	0:0.99	0:0.98	0:0.98	0:0.99	0:0.98	0:0.99	1:0.99	0:0.99	1:0.98	0:1.00	0:0.99
373	0:0.99	0:1.00	1:0.99	1:0.99	0:1.00	0:0.99	1:0.98	0:1.00	1:0.99	0:1.00	0:1.00
387	0:0.99	0:0.99	1:0.99	0:0.99	0:0.99	0:0.99	1:0.99	0:0.99	1:0.99	0:0.98	0:0.99
393	0:0.99	0:0.99	1:0.98	1:0.98	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99
397	0:0.99	0:0.99	1:0.97	0:0.98	0:0.98	0:1.00	0:0.99	0:1.00	0:0.98	0:0.98	0:0.99
405	0:0.99	0:0.99	1:0.99	1:0.99	0:1.00	0:0.99	1:1.00	0:0.99	1:0.99	0:0.99	0:1.00
416	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.67
420	0:0.99	0:0.98	0:0.98	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	1:0.98	0:0.99	0:0.99
426	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.99	0:0.99	0:0.99	0:1.00	0:0.99
432	0:0.98	0:0.99	1:0.92	1:0.95	0:0.99	0:0.99	1:0.92	0:0.98	1:0.96	0:0.98	0:1.00
437	0:0.99	0:0.99	1:0.99	0:0.99	0:0.99	0:0.98	1:0.98	0:0.98	0:0.99	0:0.99	0:0.99
447	0:1.00	0:1.00	1:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99
454	1:0.98	0:0.99	1:0.99	1:0.98	0:1.00	0:1.00	0:0.99	1:0.99	0:0.99	0:0.99	0:1.00
456	1:0.95	0:0.99	1:0.95	0:0.99	0:0.99	0:1.00	0:1.00	1:0.97	0:0.99	0:0.99	0:0.99
477	0:0.97	0:0.97	0:0.98	0:0.97	0:0.97	0:1.00	0:0.99	0:0.97	1:0.97	0:0.96	0:0.98
480	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	1:0.97	0:1.00	1:0.99	0:0.99	0:0.99
481	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.99	0:0.99	1:0.98	0:0.99	0:0.99
484	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	1:0.97	0:0.99	0:1.00	0:1.00	0:0.99
519	1:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99
546	0:1.00	0:1.00	1:0.98	1:0.97	0:1.00	0:0.99	1:0.98	0:1.00	1:0.97	0:0.99	0:0.99
552	0:0.98	0:0.97	1:0.98	0:0.97	0:0.98	0:1.00	1:0.98	0:0.98	0:0.97	0:0.99	0:0.99
582	0:0.99	0:0.98	1:0.97	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99
585	0:0.99	0:0.99	1:0.98	0:0.99	0:0.98	0:1.00	1:0.99	0:0.99	0:0.99	0:0.98	0:1.00
606	0:1.00	0:0.99	1:0.97	0:0.99	0:0.99	0:1.00	1:0.96	0:0.99	0:0.99	0:0.99	0:1.00
627	0:0.98	0:0.98	1:0.98	0:0.98	0:0.99	0:0.99	1:0.98	0:0.99	0:0.98	0:0.99	0:0.99
636	0:1.00	0:1.00	0:1.00	0:1.00	1:0.98	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00
639	0:0.98	0:0.99	1:0.98	0:0.98	0:0.99	0:0.99	1:0.98	0:0.97	0:0.99	0:0.98	0:0.99
651	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	1:0.99	0:0.99
657	0:0.98	0:0.97	0:0.99	0:0.98	0:0.98	0:0.99	1:0.97	0:0.98	0:0.98	0:0.98	0:0.98
663	0:0.99	0:0.99	1:0.97	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99
678	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	1:0.96	0:1.00	0:1.00	0:0.99	0:0.99
684	0:0.98	0:0.99	0:0.99	0:0.98	0:0.99	0:0.99	1:0.97	0:0.98	0:0.98	0:0.98	0:0.98
693	0:0.98	0:0.98	0:0.98	0:0.97	0:0.98	0:0.99	1:0.99	0:0.98	0:0.97	0:0.98	0:0.99
695	0:0.97	0:0.98	0:0.98	0:0.97	0:1.00	0:1.00	0:1.00	0:0.97	0:0.99	0:0.98	0:0.68
696	0:0.98	0:0.98	0:0.98	0:0.98	1:0.97	0:0.99	0:0.99	0:0.98	0:0.99	0:0.99	0:1.00
714	0:0.99	0:0.99	1:0.93	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00
734	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	1:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00
735	0:0.99	0:0.99	0:0.99	0:0.99	0:0.98	0:0.98	1:0.96	0:0.99	0:0.98	0:0.99	0:1.00
771	0:0.99	0:1.00	0:0.99	0:0.99	1:0.98	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99
784	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	1:0.96	0:1.00	0:1.00	0:1.00	0:0.99
819	1:0.93	0:0.99	0:0.99	0:0.99	1:0.92	1:0.95	0:0.99	0:1.00	0:0.99	0:0.98	1:0.96
822	1:0.99	0:1.00	0:0.99	0:1.00	1:0.98	1:0.98	0:0.99	0:1.00	0:0.99	0:1.00	1:0.98
831	1:1.00	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99	0:0.99	0:0.98	0:0.99	0:0.99	0:1.00
845	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	1:0.98	0:1.00	0:1.00	0:1.00	0:1.00
855	1:0.98	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	1:0.99	0:1.00	0:1.00	0:0.99	0:1.00
873	0:0.99	0:0.99	1:0.94	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00
915	0:0.98	0:0.99	0:0.98	0:0.98	0:0.98	1:0.99	0:0.99	0:0.98	0:0.98	0:0.98	1:0.98
934	0:1.00	0:1.00	1:0.97	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99
945	0:1.00	0:1.00	0:0.99	0:1.00	1:0.98	1:0.98	0:0.99	0:1.00	0:1.00	0:1.00	1:0.98
1005	0:0.99	0:0.99	0:0.99	0:0.98	1:0.96	1:0.95	0:1.00	0:0.99	0:0.98	0:0.99	1:0.96
1014	0:1.00	0:0.99	0:1.00	1:0.98	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99
1032	0:0.99	0:0.98	0:0.98	0:0.98	0:0.99	1:0.97	0:0.99	0:0.98	0:0.98	0:0.97	1:0.98
1110	1:0.97	0:0.99	0:0.98	0:0.98	1:0.98	1:0.96	0:1.00	0:0.97	0:0.97	0:0.99	1:0.97
1131	0:0.97	0:0.96	1:0.98	0:0.98	0:0.97	0:1.00	0:0.99	0:0.98	0:0.98	0:0.97	0:0.99
