Contig:MEG_4395xxDrugsxxbetalactamsxxClass_D_betalactamasesxxOXA,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10
89	0:1.00	0:1.00	1:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99
148	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	1:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99
169	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.98	1:1.00	0:0.98	0:1.00	0:1.00
260	0:1.00	1:1.00	0:0.99	1:0.95	0:0.98	0:0.98	0:0.99	0:0.97	0:0.99	0:1.00	0:0.99
346	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	1:1.00	0:1.00	0:1.00	0:1.00	0:1.00
385	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	1:1.00
461	0:1.00	0:1.00	0:1.00	0:1.00	1:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99
528	0:1.00	0:1.00	0:0.97	1:1.00	0:0.99	0:0.99	0:0.98	0:0.99	0:1.00	0:1.00	0:0.99
551	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.98	0:0.99	0:1.00	1:1.00	0:1.00	0:1.00
665	0:1.00	1:0.96	1:0.98	1:0.96	1:0.97	1:0.97	1:0.97	1:0.96	1:0.97	1:1.00	1:0.96
666	0:0.98	0:0.95	0:0.95	0:0.93	0:0.95	0:0.95	0:0.95	0:0.94	0:0.94	0:0.98	0:0.95
