Contig:MEG_7156xxDrugsxxTetracyclinesxxTetracycline_resistance_ribosomal_protection_proteinsxxTETO,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11
29	0:0.98	0:0.99	1:0.98	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00
63	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.98	0:1.00	1:0.96	0:0.99	0:1.00	0:1.00	0:1.00
98	0:0.99	0:0.99	0:1.00	0:1.00	0:0.98	0:1.00	0:0.99	1:0.98	0:1.00	0:1.00	0:1.00	0:0.96
112	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	1:0.98	0:1.00	0:1.00	0:0.91	0:0.96
126	0:1.00	0:0.99	0:0.99	1:0.94	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00
231	0:0.99	0:1.00	0:1.00	1:0.98	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00
272	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	1:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.97
273	0:1.00	0:0.99	0:1.00	1:0.98	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00
353	0:1.00	0:0.99	0:0.99	1:0.99	0:1.00	0:0.99	0:1.00	1:0.98	0:1.00	0:0.98	0:1.00	0:0.95
372	0:0.99	0:1.00	0:1.00	1:0.95	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:0.93	0:0.98
378	0:0.98	0:0.98	0:0.99	1:0.98	0:0.98	0:0.99	0:0.99	0:0.98	0:1.00	0:1.00	0:0.93	0:1.00
425	0:0.99	0:0.99	0:0.99	0:0.98	0:1.00	0:0.99	0:1.00	1:0.99	0:1.00	0:1.00	0:1.00	0:0.98
426	0:1.00	0:0.99	0:0.99	1:0.96	0:1.00	0:0.99	0:1.00	1:0.99	0:1.00	0:0.97	0:1.00	0:1.00
492	1:0.99	1:0.99	1:0.98	1:0.99	1:0.75	0:1.00	1:0.99	1:0.98	1:0.99	1:0.95	1:0.92	1:1.00
544	1:0.98	1:0.98	1:0.99	1:0.99	1:0.77	0:0.98	1:0.98	1:0.98	1:0.98	1:1.00	1:0.93	1:0.97
620	0:0.98	0:1.00	0:1.00	0:0.99	0:0.98	0:0.99	0:1.00	1:0.99	0:1.00	0:1.00	0:1.00	0:1.00
629	0:0.99	0:0.98	0:1.00	0:0.99	0:0.98	0:0.99	0:0.99	1:0.96	0:1.00	0:0.96	0:0.96	0:0.95
660	0:0.98	0:1.00	0:1.00	0:1.00	0:0.97	0:0.99	0:0.99	1:0.99	0:1.00	0:1.00	0:1.00	0:1.00
680	1:0.76	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.96	0:1.00
692	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	1:0.97	0:0.99	0:1.00	0:1.00	0:1.00
694	0:0.98	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	1:0.99	0:0.99	0:0.99	0:1.00	0:1.00
698	0:1.00	0:0.99	0:1.00	0:0.98	0:1.00	0:0.99	0:0.99	1:0.98	0:0.99	0:0.97	0:1.00	0:0.98
699	0:0.99	0:1.00	0:1.00	1:0.98	0:0.99	0:0.99	0:1.00	1:0.98	0:1.00	0:1.00	0:1.00	0:0.99
