Contig:MEG_5437xxDrugsxxbetalactamsxxClass_C_betalactamasesxxPDC,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5
19	0:0.99	1:0.96	0:0.99	0:0.99	1:1.00	0:0.98
81	0:1.00	1:0.99	0:0.99	1:0.98	1:1.00	1:0.98
163	0:0.99	0:1.00	0:0.99	1:0.99	0:1.00	1:0.97
363	0:0.99	1:1.00	0:0.95	1:0.98	1:1.00	1:0.97
464	0:1.00	0:1.00	0:0.98	1:0.98	0:1.00	1:1.00
539	0:1.00	0:1.00	0:0.98	1:0.95	0:1.00	1:0.98
613	0:0.99	1:0.96	0:1.00	2:0.99	1:1.00	2:1.00
620	0:0.99	1:0.99	1:0.97	1:0.97	1:1.00	1:0.99
621	0:1.00	1:0.99	1:0.98	1:0.99	1:1.00	1:0.97
690	0:0.99	0:1.00	1:0.99	0:0.99	0:1.00	0:1.00
957	0:0.99	1:0.99	0:0.97	0:0.99	1:1.00	0:0.99
966	0:0.99	0:1.00	0:0.99	1:0.95	0:1.00	1:0.93
1032	0:1.00	1:0.99	1:0.99	0:0.99	1:1.00	0:0.98
1066	0:1.00	1:0.98	0:0.99	1:0.98	1:1.00	0:0.86
1067	0:1.00	0:0.87	0:0.97	0:0.85	1:1.00	1:0.97
1068	0:1.00	1:0.98	1:0.81	1:0.97	0:1.00	0:0.94
1086	0:1.00	1:0.99	0:1.00	0:1.00	1:0.91	0:1.00
1172	0:0.99	1:0.97	1:0.99	0:0.99	1:1.00	0:0.99
