Contig:MEG_7909xxDrugsxxbetalactamsxxClass_C_betalactamasesxxADC,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11	Haplotype:12
5	1:0.98	1:0.98	1:0.94	0:0.99	1:0.98	1:0.95	1:0.96	0:1.00	1:0.95	1:0.97	1:0.97	1:0.99	0:0.99
53	0:1.00	0:0.99	0:0.96	0:0.99	0:0.99	0:0.93	0:0.96	0:0.99	0:0.94	0:0.99	0:0.99	1:0.99	0:0.95
71	1:0.98	1:0.99	1:0.99	0:1.00	1:0.99	1:0.99	1:0.99	0:0.99	1:1.00	1:0.99	1:0.99	1:0.99	0:0.99
78	0:0.99	1:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00
117	1:0.97	0:0.99	1:0.95	0:1.00	1:0.97	1:0.96	1:0.98	0:0.99	1:0.95	1:0.96	0:0.99	0:1.00	0:0.99
126	1:0.98	1:0.99	1:0.99	1:1.00	1:0.99	1:0.99	1:0.96	0:1.00	1:0.99	1:0.99	1:0.99	0:1.00	0:0.99
147	0:1.00	0:1.00	0:0.99	0:0.98	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	1:0.99	0:0.99
150	1:0.96	0:0.99	1:0.96	1:0.98	1:0.98	1:0.99	1:0.97	0:0.99	1:0.98	1:0.98	0:1.00	1:0.98	0:0.99
166	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:0.98	0:1.00	0:1.00	0:0.99	0:0.99	1:0.99	0:0.99	0:0.99
232	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	1:0.99	0:1.00	0:0.99
238	0:0.99	1:0.98	0:0.98	0:0.98	0:1.00	0:0.99	0:0.99	0:0.99	0:0.98	0:0.99	0:1.00	0:1.00	0:0.97
246	0:0.99	1:0.99	0:0.98	1:0.98	0:1.00	0:1.00	0:0.98	0:1.00	0:0.98	0:0.99	0:1.00	1:0.99	0:0.98
267	0:0.99	0:1.00	0:0.99	1:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99
337	1:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00
345	1:0.97	0:0.99	1:0.95	0:1.00	1:0.97	0:0.98	1:0.93	0:1.00	1:0.93	1:0.96	0:0.99	0:0.99	0:0.98
356	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	1:0.99	0:1.00
357	1:0.98	1:0.99	1:0.99	0:0.99	1:0.99	0:0.99	1:0.97	0:1.00	1:0.98	1:0.98	1:0.99	0:1.00	0:0.99
366	0:1.00	1:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	1:0.98	0:0.99	0:0.99
378	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	1:0.99	0:0.99
415	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.98	0:1.00	0:0.99	0:0.99	1:0.98	0:1.00
417	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99	1:0.99	0:0.99
423	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:0.98	0:0.99	0:0.99	1:0.97	0:0.98
426	0:0.98	0:0.99	0:0.99	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.96	0:0.98
429	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.95	0:0.99	0:0.99	1:0.99	0:1.00
430	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	1:0.99	0:0.99	0:1.00	0:0.95	0:1.00
432	1:0.99	0:1.00	1:1.00	0:0.99	1:0.98	0:0.97	1:1.00	0:0.99	1:0.98	1:0.98	0:1.00	1:0.98	0:0.99
435	1:0.98	1:0.97	1:0.96	1:1.00	1:0.96	0:0.98	1:0.95	0:0.99	1:0.96	1:0.96	1:0.96	1:0.97	0:0.98
448	1:0.99	0:1.00	1:0.99	0:0.99	1:0.98	0:0.98	1:0.99	0:1.00	1:0.99	1:0.99	0:0.99	0:1.00	0:0.97
456	0:0.99	1:0.98	0:1.00	1:0.98	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	1:0.99	0:0.99	0:1.00
459	1:0.97	0:0.99	1:0.97	0:0.99	1:0.95	0:0.99	1:0.95	0:1.00	1:0.96	1:0.96	0:1.00	0:1.00	0:0.99
471	1:0.91	0:0.99	1:0.93	0:1.00	1:0.93	0:0.99	1:0.90	0:1.00	1:0.92	1:0.93	0:0.99	0:0.98	0:0.99
477	1:0.98	0:0.98	1:0.97	0:0.98	1:0.98	0:0.98	1:0.98	0:1.00	1:0.97	1:0.98	0:0.99	0:0.99	0:0.97
487	0:1.00	1:0.96	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	1:0.98	0:1.00
492	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:0.98	0:0.99	0:0.99	0:0.99	0:1.00	1:0.99	0:1.00	0:0.99
499	1:0.98	0:1.00	1:0.97	0:0.99	1:0.95	0:0.98	1:0.96	0:0.99	1:0.97	1:0.97	0:1.00	0:0.99	0:1.00
513	1:0.92	0:0.99	1:0.96	0:0.99	1:0.92	0:0.98	1:0.93	0:1.00	1:0.97	1:0.92	0:0.99	0:0.99	0:0.99
514	1:0.99	0:0.99	1:0.98	0:0.99	1:0.98	0:1.00	1:0.97	0:0.99	1:0.98	1:0.99	0:1.00	0:1.00	0:0.99
528	1:1.00	0:0.99	1:0.99	0:0.99	1:0.98	0:0.99	1:0.99	0:0.98	1:0.99	1:0.98	0:1.00	0:1.00	0:1.00
534	1:0.99	0:1.00	1:0.99	0:0.99	1:0.98	0:1.00	1:0.97	0:1.00	1:0.99	1:0.99	0:1.00	0:1.00	0:0.99
540	1:0.99	0:0.99	1:1.00	0:1.00	1:0.99	0:1.00	1:1.00	0:0.99	1:1.00	1:0.99	0:0.99	0:1.00	0:1.00
541	1:0.98	0:0.99	1:0.99	0:1.00	1:1.00	0:0.97	1:1.00	0:0.99	1:0.99	1:0.99	0:1.00	0:0.99	0:0.98
547	0:1.00	1:0.98	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	1:0.98	0:0.99	0:0.99	0:1.00	0:1.00
552	1:0.98	0:0.99	1:1.00	0:0.99	1:0.98	0:0.99	1:0.99	0:0.99	1:0.98	1:0.98	0:0.99	0:0.99	0:0.99
558	0:1.00	1:0.98	0:0.99	0:1.00	0:0.99	0:0.96	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	1:0.99	0:0.99
591	1:0.99	1:0.98	1:0.97	1:0.98	1:0.98	0:0.99	1:0.96	0:1.00	1:0.98	1:0.98	1:0.99	1:0.98	0:0.99
657	1:0.97	1:0.97	1:0.94	0:0.99	1:0.97	0:1.00	1:0.96	0:1.00	1:0.95	1:0.97	1:0.95	1:0.96	0:0.99
671	0:0.99	0:0.98	1:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00
672	0:0.99	1:0.97	0:0.92	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00
678	0:0.99	1:0.98	0:0.99	0:1.00	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.98
713	0:1.00	0:1.00	0:1.00	0:0.99	1:0.95	0:1.00	1:0.97	0:0.99	0:1.00	0:1.00	0:0.98	0:0.99	0:1.00
723	0:1.00	0:1.00	0:0.98	0:1.00	0:0.99	0:0.97	0:0.96	0:0.99	0:0.97	0:1.00	0:0.99	1:0.98	0:0.97
727	0:0.99	0:1.00	1:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99
731	0:0.99	0:0.99	1:0.89	0:0.99	0:0.96	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99
732	0:1.00	1:0.96	0:0.99	0:0.99	0:0.90	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00
781	0:0.98	0:1.00	0:0.99	1:0.98	0:0.99	0:0.99	1:0.80	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99
804	1:0.93	0:0.99	1:0.94	2:0.95	1:0.94	0:0.98	0:0.47	0:0.98	1:0.94	1:0.94	1:0.93	0:0.98	0:0.99
807	1:0.98	0:0.99	1:0.99	0:1.00	1:0.97	0:1.00	0:0.99	0:1.00	1:0.98	1:0.98	1:0.97	0:1.00	0:1.00
813	1:0.98	0:0.99	1:0.98	0:0.99	1:0.99	0:0.99	0:1.00	0:0.99	1:1.00	1:0.98	1:0.99	0:0.99	0:0.98
822	1:1.00	0:0.99	1:0.99	0:1.00	1:0.98	0:0.97	0:0.97	0:0.99	1:0.98	1:0.99	1:0.97	0:0.99	0:0.98
823	0:0.98	0:0.99	0:0.99	0:0.99	0:0.96	0:0.99	1:0.99	0:0.99	0:0.99	0:0.98	0:0.97	1:0.97	0:0.99
825	0:0.99	1:0.98	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99
860	0:0.98	0:0.99	0:0.98	0:1.00	0:0.99	0:1.00	0:0.98	0:1.00	0:0.99	0:0.99	1:0.98	0:0.99	0:1.00
862	1:0.79	0:1.00	1:0.79	0:1.00	1:0.82	0:0.99	1:0.93	0:0.99	1:0.81	1:0.80	1:0.81	0:1.00	0:0.99
863	1:0.98	0:1.00	1:0.98	0:0.99	1:0.97	0:1.00	1:0.99	0:1.00	1:0.98	1:0.99	1:0.98	0:1.00	0:1.00
871	0:0.99	0:1.00	0:0.99	1:0.98	0:0.99	0:1.00	0:0.98	0:1.00	0:0.99	0:0.99	0:0.99	1:0.99	0:0.99
874	0:1.00	0:0.99	0:0.99	1:0.94	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	1:0.98	0:1.00
875	0:0.99	0:0.99	0:0.99	0:0.98	0:1.00	0:1.00	0:0.99	0:0.98	0:0.99	0:1.00	0:1.00	1:0.93	0:0.98
876	0:0.99	0:0.99	0:1.00	1:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.98	1:0.99	0:1.00
942	0:0.99	0:1.00	0:1.00	1:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00
944	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	1:1.00	0:1.00
961	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:0.98	0:1.00	0:1.00	0:1.00	1:0.99	0:0.99	0:0.99	0:1.00
975	0:0.99	0:0.99	0:1.00	0:0.99	1:0.98	0:0.98	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00
996	0:0.99	0:1.00	0:0.98	0:0.99	0:0.99	0:0.99	1:0.97	0:1.00	0:0.99	0:0.98	0:0.99	1:0.98	0:0.98
1030	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	1:0.99	0:1.00	0:0.99	0:1.00
1035	0:0.99	1:0.98	0:1.00	1:0.97	0:0.99	0:0.99	1:1.00	0:0.99	0:0.99	0:1.00	1:0.98	1:0.99	0:0.99
1037	1:0.98	1:0.98	1:0.99	1:0.98	1:0.97	1:1.00	0:1.00	1:0.94	1:0.99	0:1.00	1:0.97	1:0.96	0:1.00
1039	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	1:0.97	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00
1056	1:0.99	0:0.99	1:0.99	0:0.99	1:0.99	0:0.99	0:1.00	0:0.99	1:0.99	1:0.99	0:0.99	1:0.98	0:0.99
1065	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	1:0.98	0:1.00	0:1.00
1068	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.97	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	1:0.99	0:0.99
1083	0:0.99	1:0.98	0:1.00	1:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	1:0.98	0:0.99	0:1.00
1122	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	1:0.98	0:1.00	0:1.00	0:0.99	0:0.99	1:0.98	0:1.00
1137	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	1:1.00	0:1.00	0:1.00	0:0.99	0:1.00	1:0.98	0:1.00
1143	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	1:1.00	0:1.00	0:1.00	0:1.00	0:0.99	1:0.99	0:1.00
1146	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	1:1.00	0:0.99	0:1.00	0:0.99	0:0.99	1:0.98	0:1.00
1147	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	1:1.00	0:1.00	0:1.00	0:0.99	0:0.99	1:0.97	0:0.99
1149	0:0.99	0:1.00	0:0.98	0:1.00	0:1.00	0:0.99	1:0.98	0:0.99	0:0.98	0:1.00	0:1.00	1:0.98	0:0.98
1162	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	1:0.91	0:0.99	0:0.99	0:1.00	0:0.99	1:0.91	0:0.99
