Contig:MEG_7909xxDrugsxxbetalactamsxxClass_C_betalactamasesxxADC,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11	Haplotype:12	Haplotype:13
5	1:1.00	1:0.96	1:0.98	1:0.94	0:1.00	1:0.99	0:0.99	0:0.99	1:0.94	1:0.98	1:0.97	1:0.98	1:0.94	1:0.96
53	0:1.00	0:0.96	0:0.99	0:0.96	0:0.99	1:0.99	0:0.94	0:0.99	0:0.94	0:1.00	0:1.00	0:0.99	0:0.93	0:0.99
71	1:1.00	1:0.99	1:0.99	1:0.99	0:0.99	1:0.99	0:0.99	0:1.00	1:1.00	1:0.99	1:0.99	1:0.99	1:0.99	1:0.99
78	0:1.00	0:0.99	1:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99
117	1:0.90	1:0.98	0:0.99	1:0.95	0:0.99	0:1.00	0:0.99	0:0.99	1:0.95	1:0.97	1:0.97	1:0.97	1:0.96	0:0.99
126	1:1.00	1:0.96	1:0.99	1:0.99	0:1.00	0:1.00	0:0.99	1:1.00	1:0.99	1:0.98	1:0.98	1:0.99	1:0.99	1:1.00
147	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	1:0.99	0:0.99	0:0.98	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99
150	1:0.96	1:0.97	0:0.99	1:0.96	0:0.99	1:0.98	0:0.99	1:0.98	1:0.98	1:0.97	1:0.98	1:0.98	1:0.99	0:1.00
166	0:0.96	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.98	1:0.98
232	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	1:0.98
238	0:0.97	0:0.99	1:0.98	0:0.98	0:0.99	0:1.00	0:0.97	0:0.98	0:0.98	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99
246	0:0.96	0:0.98	1:0.99	0:0.98	0:1.00	1:0.99	0:0.97	1:0.97	0:0.98	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99
267	0:0.93	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	1:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:0.98
337	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	1:1.00	0:1.00	0:1.00	0:0.99	0:0.99
345	1:0.97	1:0.93	0:0.99	1:0.95	0:1.00	0:0.99	0:0.98	0:0.99	1:0.93	1:0.97	1:0.96	1:0.97	0:0.98	0:0.99
356	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	1:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99
357	1:1.00	1:0.97	1:0.99	1:0.99	0:1.00	0:1.00	0:0.99	0:0.98	1:0.98	1:0.98	1:0.98	1:0.99	0:0.99	1:0.98
366	0:1.00	0:0.99	1:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	1:0.97
378	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	1:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99
415	0:0.97	0:1.00	0:0.99	0:0.99	0:0.98	1:0.98	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99
417	0:1.00	0:0.99	0:1.00	0:0.99	0:0.98	1:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99
423	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	1:0.97	0:0.98	0:1.00	0:0.98	0:1.00	0:0.99	0:0.99	0:0.99	0:0.98
426	0:0.95	0:0.99	0:0.99	0:0.99	0:0.99	1:0.96	0:0.98	0:0.98	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.98
429	0:0.97	0:0.99	0:1.00	0:0.99	0:0.99	1:0.99	0:1.00	0:1.00	0:0.95	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99
430	0:0.69	0:0.99	0:1.00	0:0.99	0:0.99	0:0.95	0:1.00	0:0.98	1:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00
432	1:1.00	1:1.00	0:1.00	1:1.00	0:0.99	1:0.98	0:0.99	0:1.00	1:0.98	1:0.99	1:0.98	1:0.98	0:0.97	0:1.00
435	1:0.93	1:0.95	1:0.97	1:0.96	0:0.99	1:0.97	0:0.98	1:0.99	1:0.96	1:0.97	1:0.96	1:0.96	0:0.98	1:0.94
448	1:0.95	1:0.99	0:1.00	1:0.99	0:1.00	0:1.00	0:0.97	0:0.98	1:0.99	1:0.99	1:0.99	1:0.98	0:0.98	0:0.97
456	0:1.00	0:1.00	1:0.98	0:1.00	0:0.99	0:0.99	0:1.00	1:0.98	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	1:0.99
459	1:1.00	1:0.95	0:0.99	1:0.96	0:1.00	0:1.00	0:0.99	0:0.99	1:0.96	1:0.97	1:0.96	1:0.95	0:0.99	0:0.99
471	1:0.92	1:0.90	0:0.99	1:0.94	0:1.00	0:0.98	0:1.00	0:1.00	1:0.92	1:0.92	1:0.92	1:0.93	0:0.99	0:0.99
477	1:1.00	1:0.98	0:0.98	1:0.97	0:1.00	0:0.99	0:0.97	0:0.98	1:0.97	1:0.98	1:0.98	1:0.98	0:0.98	0:0.98
