Contig:MEG_1496xxDrugsxxbetalactamsxxClass_A_betalactamasesxxCARB,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10
23	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	1:0.98	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00
38	1:0.98	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99
57	0:0.99	0:0.99	1:0.96	0:1.00	0:0.99	0:0.98	0:0.99	0:0.98	0:1.00	0:0.99	0:0.98
71	1:0.99	1:0.99	1:0.99	0:1.00	1:0.97	1:0.98	1:0.97	1:0.98	1:0.99	1:0.99	1:0.98
78	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	1:0.98	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00
137	0:1.00	0:1.00	1:0.98	0:1.00	0:0.98	0:0.98	0:1.00	0:0.99	0:0.97	0:1.00	0:1.00
192	1:0.99	0:1.00	0:0.99	0:0.98	0:0.98	0:0.98	0:0.99	0:0.99	1:0.97	0:0.99	0:0.99
225	0:0.99	0:0.99	0:1.00	0:1.00	0:0.98	1:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00
231	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:0.97	0:0.99	1:0.99
255	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.97	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00
263	0:0.99	1:0.96	1:0.93	0:0.99	1:0.92	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00
274	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	1:0.99	0:1.00	0:0.98	0:1.00	0:1.00
315	1:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00
327	0:0.99	0:1.00	1:0.97	0:0.98	1:0.96	0:0.97	0:1.00	0:0.99	0:0.97	0:1.00	0:0.99
330	1:0.98	1:0.99	1:0.98	0:1.00	1:0.98	1:0.98	0:1.00	0:0.99	1:1.00	1:0.99	1:0.98
331	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	1:0.99	0:0.99
348	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	1:0.95	0:0.99	1:0.94	1:0.95	1:0.96	0:0.99
351	0:0.99	0:0.99	0:0.99	0:1.00	0:0.97	0:0.98	0:1.00	0:0.98	0:0.99	1:0.97	0:0.99
381	0:0.99	0:1.00	1:0.98	0:1.00	1:0.97	0:0.96	0:0.99	0:1.00	0:0.96	0:1.00	0:0.99
423	1:0.99	1:0.98	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	1:0.97	0:1.00	1:0.99
435	1:0.99	1:0.99	1:0.98	0:0.99	1:0.99	0:1.00	0:0.99	0:0.99	1:0.99	0:1.00	1:0.98
459	0:1.00	0:0.99	0:0.99	0:0.99	1:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00
474	1:0.97	0:0.99	1:0.96	0:1.00	1:0.96	0:1.00	0:0.99	0:0.99	1:0.99	0:0.99	1:0.96
478	1:0.97	1:0.98	1:0.97	0:0.99	1:0.96	1:0.96	1:0.98	0:0.99	1:0.93	1:0.97	1:0.96
486	0:0.99	0:1.00	1:0.98	0:0.99	1:0.98	0:0.98	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99
504	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	1:1.00	0:1.00	0:0.99	0:0.99	1:0.99	0:0.99
513	0:1.00	1:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99
516	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	1:0.96	0:0.99	0:1.00	0:1.00	0:1.00
549	1:0.98	1:0.99	0:0.99	0:0.99	0:0.99	1:0.99	0:1.00	0:0.99	0:1.00	1:0.99	0:0.99
568	0:1.00	0:0.99	0:0.98	0:1.00	0:0.97	0:0.97	0:1.00	0:0.99	0:0.99	0:1.00	1:0.99
615	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	1:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00
633	1:0.99	1:0.98	0:0.99	0:1.00	0:1.00	0:0.99	1:0.98	1:0.96	0:1.00	0:0.99	0:0.99
