Contig:MEG_1902xxDrugsxxbetalactamsxxClass_C_betalactamasesxxCMY,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2
27	1:0.99	1:0.99	0:0.99
141	1:0.99	1:0.98	0:0.98
144	1:0.94	1:0.96	0:0.98
153	1:0.98	1:0.99	0:0.97
167	1:0.96	0:1.00	0:0.98
243	0:1.00	1:0.97	0:0.99
244	0:1.00	1:0.98	0:0.99
376	0:1.00	1:0.97	0:1.00
411	1:0.99	0:0.99	0:1.00
432	0:1.00	1:0.97	0:1.00
449	1:0.97	0:1.00	0:1.00
541	1:0.97	1:0.98	0:1.00
545	1:0.99	1:0.98	0:0.96
549	1:0.98	1:0.97	0:0.99
553	0:1.00	1:0.98	0:0.99
654	0:1.00	1:0.98	0:0.99
671	0:0.99	1:0.98	0:0.99
687	0:1.00	1:0.98	0:1.00
834	1:0.99	0:0.99	0:0.99
921	0:1.00	1:0.98	0:0.99
1092	1:0.98	0:0.99	0:0.98
1095	1:0.98	0:0.99	0:0.99
1101	1:0.99	1:0.99	0:0.99
1103	1:0.92	1:0.94	0:1.00
1104	1:0.90	1:0.88	0:0.99
1110	0:1.00	1:0.99	0:0.98
