Contig:MEG_4541xxDrugsxxbetalactamsxxClass_D_betalactamasesxxOXA,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10
48	0:0.99	0:0.99	1:0.98	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99
50	0:1.00	0:0.99	1:0.97	0:0.99	0:0.99	0:0.98	0:0.99	0:0.99	1:0.96	0:0.99	1:0.98
65	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	1:0.98	0:1.00
129	1:0.98	0:1.00	0:0.99	0:0.98	0:0.99	0:0.93	0:0.99	0:1.00	0:0.99	0:0.99	0:0.98
216	0:0.99	0:1.00	0:1.00	0:0.97	0:0.99	0:0.97	1:0.98	0:0.99	0:1.00	0:1.00	0:0.96
312	1:0.99	1:0.99	1:0.98	1:0.98	0:0.99	1:0.95	1:0.99	1:0.99	1:0.98	1:0.99	1:0.97
396	0:0.99	0:0.99	1:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99
405	0:1.00	0:1.00	0:0.99	1:1.00	0:1.00	1:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00
417	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.98	0:1.00	0:1.00	0:1.00	0:0.99
426	0:0.99	1:0.92	1:0.94	1:0.90	0:1.00	1:0.87	1:0.94	1:0.95	1:0.94	1:0.94	1:0.90
444	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	1:0.98	0:1.00	0:0.99	1:0.97	1:1.00
471	1:0.99	0:0.99	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.97
518	0:0.99	0:0.99	0:0.99	0:0.98	0:1.00	0:0.98	1:0.91	0:0.99	0:0.99	0:1.00	0:0.97
520	1:0.96	0:1.00	1:0.96	1:0.98	0:1.00	1:0.99	1:0.91	1:0.99	1:0.97	1:0.96	1:0.98
528	0:0.99	0:1.00	1:0.98	1:0.99	0:0.99	1:0.99	1:0.98	0:1.00	1:0.99	1:0.97	1:0.98
555	0:0.99	0:0.99	1:0.94	0:0.99	0:0.99	0:0.99	0:0.99	1:1.00	0:0.99	0:1.00	0:0.99
564	0:0.99	0:1.00	0:0.99	1:0.98	0:1.00	0:1.00	1:0.96	1:0.99	1:0.97	1:0.98	1:0.98
567	0:0.99	0:0.99	1:0.99	1:0.99	0:0.99	1:0.96	1:0.98	1:0.99	1:0.97	1:0.98	1:0.98
570	0:0.99	0:1.00	0:0.99	1:0.99	0:1.00	1:1.00	1:0.98	1:0.99	1:0.97	1:0.99	1:0.99
584	0:1.00	0:1.00	0:0.99	1:0.97	0:0.99	0:1.00	1:0.98	1:1.00	0:0.99	1:0.98	0:0.98
618	0:1.00	0:0.99	1:0.99	0:0.96	0:0.99	0:0.96	0:0.99	1:0.96	1:0.99	0:1.00	0:0.96
675	0:0.99	0:0.99	1:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00
693	0:0.99	1:0.98	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00
711	1:0.99	1:0.98	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99
738	1:0.98	1:0.98	0:0.99	0:0.98	0:0.99	0:0.98	0:0.99	0:1.00	0:1.00	0:0.99	1:0.97
752	1:0.97	1:0.98	0:0.99	1:0.98	0:0.99	1:0.98	1:0.96	0:0.99	0:1.00	0:0.99	1:0.99
754	0:1.00	0:0.99	1:0.97	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:0.98	0:1.00
766	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	1:0.95
810	0:0.99	0:0.99	0:1.00	0:0.97	0:0.99	0:0.93	0:0.99	0:1.00	0:1.00	0:0.99	1:0.96
