Contig:NC_001802.1,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3
256	1:0.93	1:0.85	0:0.96	0:0.94
393	0:0.96	0:0.88	1:0.98	1:0.95
456	1:0.95	1:0.85	0:0.94	0:0.95
499	1:0.93	1:0.86	0:0.98	0:0.95
534	1:0.94	1:0.85	2:0.95	2:0.93
590	1:0.88	1:0.80	0:0.97	0:0.97
615	1:0.88	1:0.93	1:0.91	1:0.88
665	1:0.80	1:0.77	0:1.00	0:0.97
691	0:0.98	0:0.97	1:0.53	2:0.49
722	0:0.94	0:0.87	1:0.98	1:0.94
773	1:0.89	1:0.86	0:0.96	0:0.96
956	1:0.98	1:0.98	1:0.98	1:0.98
994	1:0.96	1:0.87	0:0.97	0:0.96
1136	0:0.98	0:0.89	1:0.95	1:0.94
1229	1:0.98	1:0.88	0:0.98	0:0.96
1274	1:0.92	1:0.87	0:0.96	0:0.96
1329	1:0.97	1:0.88	0:0.98	0:0.97
1394	1:0.94	1:0.97	1:0.95	1:0.95
1438	0:0.99	0:0.90	1:0.97	1:0.94
1491	0:0.97	0:0.87	1:0.99	1:0.93
1646	1:0.93	1:0.84	0:0.93	0:0.95
1778	1:0.92	1:0.88	0:0.94	0:0.97
1834	0:0.98	0:0.90	1:0.90	1:0.97
1987	1:0.97	1:0.93	0:0.88	0:0.96
2075	1:0.96	1:0.97	1:0.98	1:0.99
2131	0:0.98	0:0.95	1:0.81	1:0.93
2215	1:0.99	1:0.99	1:0.98	1:0.99
2293	1:0.93	1:0.92	0:0.84	0:0.97
2356	1:0.98	1:0.99	1:0.99	1:0.99
2518	1:0.96	1:0.95	0:0.78	0:0.98
2592	0:0.99	0:0.96	1:0.74	1:0.97
2671	1:0.99	1:1.00	1:1.00	1:0.99
2735	1:0.99	1:0.99	1:1.00	1:0.99
2807	0:0.96	0:0.94	0:0.99	0:0.97
2863	1:0.98	1:0.97	1:0.98	1:0.98
2956	0:0.99	0:0.99	1:0.67	1:0.92
3023	1:0.98	1:0.97	0:0.61	0:0.96
3070	0:0.97	0:0.97	1:0.64	1:0.96
3136	0:0.97	0:0.97	1:0.66	1:0.94
3195	0:0.99	0:0.95	1:0.64	1:0.95
3256	1:0.91	1:0.82	0:0.70	0:0.96
3304	1:0.96	1:0.96	0:0.70	0:0.98
3448	1:0.94	1:0.92	0:0.69	0:0.99
3500	1:0.95	1:0.95	0:0.65	0:0.99
3541	1:0.98	1:0.95	0:0.63	0:0.99
3664	0:0.92	0:0.93	1:0.64	1:0.98
3755	1:0.98	1:0.97	1:0.94	1:0.96
3811	1:0.93	1:0.84	0:0.63	0:0.99
3899	0:0.98	0:0.88	1:0.56	1:0.98
4039	0:0.98	0:0.82	1:0.51	1:0.96
