Contig:MEG_814xxDrugsxxAminoglycosidesxxAminoglycoside_OxxnucleotidyltransferasesxxANT3xxDPRIME,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6
24	1:0.82	1:0.96	1:1.00	0:1.00	-	1:0.53	-
31	1:0.92	1:1.00	0:1.00	0:0.99	-	1:1.00	-
32	1:0.90	1:0.89	1:0.93	0:1.00	-	1:1.00	-
33	1:1.00	0:1.00	0:1.00	0:1.00	-	0:1.00	-
36	1:0.94	1:0.92	1:0.87	0:0.99	-	1:0.75	-
43	1:0.96	1:0.96	1:1.00	0:1.00	-	1:0.75	1:1.00
44	1:0.89	1:1.00	1:1.00	0:0.99	-	1:1.00	1:1.00
47	1:0.83	1:0.97	1:1.00	0:0.99	-	0:0.50	0:1.00
48	1:0.85	1:0.96	1:0.94	0:1.00	-	0:0.65	0:1.00
51	1:0.87	1:0.92	1:0.92	0:0.99	0:1.00	1:1.00	1:1.00
53	1:0.91	1:0.96	1:0.80	0:0.99	0:1.00	0:0.70	0:1.00
56	1:0.60	1:0.68	1:0.68	0:1.00	1:0.97	0:1.00	1:0.60
60	1:0.97	1:1.00	1:1.00	0:0.99	1:0.98	1:0.98	1:0.99
66	1:1.00	1:0.96	1:1.00	0:0.99	1:1.00	1:0.99	1:0.98
198	1:1.00	1:1.00	1:1.00	0:0.99	1:0.93	1:0.99	1:0.99
207	1:0.66	1:0.65	1:0.87	0:0.99	0:0.68	1:1.00	1:0.98
477	0:0.89	0:0.66	0:0.68	0:1.00	0:1.00	0:1.00	1:0.96
677	0:0.92	0:0.67	0:0.66	0:0.99	0:1.00	0:1.00	1:0.96
