Contig:MEG_814xxDrugsxxAminoglycosidesxxAminoglycoside_OxxnucleotidyltransferasesxxANT3xxDPRIME,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3
24	1:0.93	1:0.80	1:0.80	0:1.00
31	1:0.82	0:0.56	1:0.96	0:0.99
32	1:0.87	1:0.80	1:1.00	0:1.00
33	0:0.59	0:0.52	1:0.92	0:1.00
36	1:0.87	1:0.82	1:0.92	0:0.99
43	1:0.94	1:1.00	1:0.95	0:1.00
44	1:0.94	1:1.00	1:0.92	0:0.99
47	1:0.86	1:0.85	1:0.75	0:0.99
48	1:0.80	1:0.72	1:0.84	0:1.00
51	1:0.92	1:1.00	0:0.54	0:0.99
53	1:0.81	1:0.50	0:0.63	0:0.99
56	0:0.94	1:0.81	1:0.99	0:1.00
60	1:0.98	1:0.99	1:0.96	0:0.99
66	1:0.99	1:0.98	1:1.00	0:0.99
198	1:0.99	1:0.99	1:0.98	0:0.99
207	1:0.97	1:0.98	0:0.99	0:0.99
477	0:0.99	1:0.96	0:0.99	0:1.00
677	0:0.99	1:0.96	0:0.99	0:0.99
