Contig:MEG_4311xxDrugsxxMultixxdrug_resistancexxMultixxdrug_ABC_efflux_pumpsxxOPTRA,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9
7	1:1.00	1:0.99	1:0.98	1:0.97	1:0.96	0:1.00	1:0.98	1:0.82	1:0.96	0:1.00
51	0:1.00	0:0.95	0:0.98	0:0.97	0:0.95	0:0.98	0:0.97	1:1.00	0:1.00	0:0.96
119	0:1.00	0:0.91	1:0.99	1:1.00	1:0.97	0:0.96	1:0.99	1:0.99	1:0.99	1:1.00
335	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.95	0:0.99	0:1.00	0:1.00
526	0:1.00	0:0.99	1:1.00	0:0.99	0:0.99	0:0.98	0:0.99	1:0.83	1:1.00	0:0.99
766	0:1.00	0:0.99	0:0.99	0:0.98	1:1.00	0:0.98	0:0.98	0:0.99	0:0.98	0:1.00
849	0:1.00	1:0.99	1:0.98	0:1.00	1:0.96	0:1.00	1:0.97	1:0.96	1:0.97	0:1.00
1178	0:0.94	0:1.00	1:0.98	0:1.00	1:0.93	0:1.00	1:0.99	1:0.95	1:0.98	1:1.00
1343	0:0.87	0:0.96	0:0.96	0:0.95	0:0.95	0:0.95	0:0.95	0:0.97	0:0.94	0:0.98
1533	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	1:0.98	0:1.00
1779	1:1.00	1:0.97	0:1.00	0:1.00	1:0.94	0:1.00	0:1.00	0:1.00	1:0.97	1:0.97
1833	0:0.94	1:0.98	0:0.99	0:0.99	1:0.99	0:0.97	0:1.00	0:0.95	1:0.98	1:0.98
1866	1:1.00	0:0.97	0:1.00	1:0.99	0:0.97	0:1.00	0:1.00	1:1.00	0:0.96	0:0.80
