Contig:MEG_884xxDrugsxxAminoglycosidesxxAminoglycoside_OxxnucleotidyltransferasesxxANT3xxDPRIME,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11
7	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	1:1.00	0:1.00	0:0.99	0:0.99	0:0.99	-
25	0:0.99	0:0.98	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	1:0.99
27	0:0.99	0:1.00	0:0.99	0:1.00	0:0.98	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	1:0.97
32	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	1:0.97
33	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	1:0.99
48	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	1:0.98
49	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	1:0.90
51	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:0.96	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	1:0.93
52	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	1:0.95	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.98
60	0:0.99	0:0.96	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.98	0:0.99	0:0.99	1:0.96
82	0:1.00	1:0.99	1:0.98	1:0.99	1:0.99	1:1.00	1:0.98	1:1.00	1:0.98	1:0.99	1:0.99	1:1.00
83	0:1.00	1:1.00	1:0.98	1:0.99	1:0.99	1:0.97	1:0.99	1:0.98	1:0.98	1:0.98	1:0.99	1:1.00
180	0:0.99	0:1.00	0:0.98	1:0.97	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00
186	0:1.00	0:0.97	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	1:0.99	0:0.98
219	0:1.00	1:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00
240	0:0.99	0:0.99	0:0.99	1:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00
324	0:1.00	1:0.95	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99
381	0:0.99	1:0.95	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.89
383	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	1:0.99	0:1.00
575	0:0.99	0:0.98	0:0.99	0:0.99	1:0.98	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.98
602	0:0.99	0:0.96	1:0.99	0:1.00	0:0.98	0:0.99	1:0.98	1:0.99	1:0.99	1:0.99	1:0.98	1:0.99
659	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	1:1.00	0:1.00	0:0.99
721	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.98	0:1.00
723	0:0.98	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	1:0.99	1:0.66	1:0.99	1:0.98	1:0.99
750	0:0.99	0:0.99	1:1.00	0:0.99	0:0.99	0:0.99	1:0.97	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00
754	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	1:1.00	0:1.00	0:0.99	0:0.99	0:1.00
757	0:0.99	0:1.00	0:0.99	0:1.00	1:0.98	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00
