Contig:MEG_4675xxDrugsxxbetalactamsxxClass_D_betalactamasesxxOXA,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10
29	1:0.94	1:0.94	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	1:0.98	1:0.95	0:1.00	0:0.99
30	1:0.97	1:0.95	0:0.99	0:0.98	0:1.00	0:0.96	0:0.99	1:0.97	1:0.95	0:0.96	0:0.95
42	1:0.97	1:0.92	0:1.00	0:0.99	1:0.98	0:0.96	0:0.99	1:0.94	1:0.97	0:0.97	0:0.98
58	1:0.98	1:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	1:0.98	1:0.98	0:1.00	0:1.00
120	1:0.98	1:0.99	0:0.99	0:0.98	0:0.99	0:0.98	0:0.99	1:0.99	1:0.98	0:0.99	0:0.99
163	1:0.98	1:0.98	0:0.99	0:0.97	0:0.99	0:0.98	0:0.99	1:0.99	1:0.98	0:0.98	0:0.97
197	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	1:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00
218	1:1.00	0:0.98	0:1.00	1:1.00	0:0.99	1:0.96	0:0.98	1:1.00	0:1.00	0:1.00	0:1.00
250	0:0.98	0:1.00	0:0.99	0:0.98	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	1:0.93
300	1:0.99	1:1.00	0:1.00	0:0.98	0:1.00	0:0.99	0:1.00	1:1.00	1:0.99	0:0.99	0:0.98
320	1:0.98	1:0.97	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	1:0.99	1:0.99	0:1.00	0:1.00
348	1:1.00	1:0.98	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	1:1.00	1:0.99	0:1.00	0:1.00
349	0:0.99	0:1.00	0:0.99	0:0.99	1:0.94	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00
370	0:0.99	0:0.98	0:1.00	0:0.98	0:0.99	0:0.99	0:0.99	0:0.98	0:0.99	1:0.95	0:0.98
420	1:0.95	1:0.97	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	1:0.98	1:0.96	0:1.00	0:1.00
462	1:0.99	1:0.98	0:1.00	1:0.98	1:0.97	1:0.99	1:0.97	1:0.97	1:0.97	1:0.99	1:0.98
466	0:0.99	0:0.99	0:0.98	0:0.98	0:0.98	0:0.98	0:0.95	0:0.99	0:0.99	0:0.98	1:0.96
468	1:0.93	1:0.91	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	1:0.76	1:0.91	0:0.99	0:0.99
469	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	1:0.80	0:0.99	0:0.98	0:0.96	0:0.98
470	1:1.00	0:0.98	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	1:0.93	1:0.97	0:1.00
471	1:0.99	1:0.98	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	1:0.98	1:0.98	0:0.99	0:1.00
477	1:0.91	0:0.97	0:1.00	0:0.98	0:0.99	0:0.97	0:0.99	1:0.92	1:0.88	0:0.98	0:0.97
521	1:0.98	1:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	1:0.94	1:0.96	0:0.99	0:0.98
543	1:0.98	1:0.98	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.99	1:0.99	0:0.99	0:0.98
552	1:0.98	1:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	1:0.97	1:0.99	0:1.00	0:1.00
588	1:0.99	0:0.97	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	1:0.98	1:0.98	0:0.99	0:0.99
591	1:0.98	0:0.85	0:1.00	0:0.98	0:1.00	0:0.98	0:1.00	1:0.99	1:0.97	0:0.98	0:0.98
603	1:1.00	1:0.98	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	1:0.99	1:0.99	0:0.99	0:0.99
672	1:0.96	1:0.95	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.99	1:0.98	0:0.98	0:0.97
686	1:0.87	1:0.74	0:1.00	0:0.98	0:0.99	0:1.00	0:1.00	1:0.87	1:0.84	0:0.99	0:0.99
687	1:0.93	1:0.73	0:0.99	0:0.97	0:0.99	0:0.98	0:1.00	1:0.94	1:0.92	0:0.99	0:0.98
734	1:0.99	1:0.97	0:0.99	0:0.97	0:0.99	0:0.99	0:0.99	1:0.98	1:0.97	0:0.98	0:0.98
776	1:0.99	1:0.98	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	1:0.98	1:0.98	0:1.00	0:1.00
