Contig:MEG_1792xxDrugsxxbetalactamsxxClass_C_betalactamasesxxCMY,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3
48	0:0.99	1:0.99	0:0.99	0:1.00
54	0:0.99	1:0.98	0:0.99	0:1.00
60	0:1.00	1:0.98	0:0.99	0:1.00
66	0:0.99	1:0.96	0:0.99	0:1.00
77	0:0.99	1:0.98	0:1.00	0:1.00
147	0:1.00	1:0.96	0:0.99	0:0.97
205	0:1.00	1:0.98	0:0.99	0:1.00
234	0:0.99	1:0.98	0:1.00	0:1.00
249	0:1.00	1:0.99	0:0.99	0:0.98
255	0:1.00	1:0.97	0:1.00	0:0.95
373	0:0.99	1:0.96	0:1.00	0:1.00
396	0:1.00	1:0.99	0:1.00	0:1.00
411	0:0.99	1:0.98	0:0.99	0:0.99
437	0:1.00	1:0.98	0:1.00	0:1.00
458	0:0.99	1:0.98	0:0.99	0:0.99
487	0:0.99	1:0.98	0:0.99	0:1.00
489	0:0.99	1:0.96	0:0.99	0:0.98
504	0:0.99	1:0.99	0:1.00	0:0.98
511	0:1.00	0:1.00	1:0.99	0:1.00
536	0:1.00	1:0.99	1:0.99	1:0.91
630	0:1.00	1:0.99	0:0.97	0:0.99
661	0:1.00	0:0.99	1:0.99	1:0.92
682	0:0.99	1:0.99	0:1.00	0:1.00
684	0:0.99	1:0.97	0:0.98	0:1.00
767	0:1.00	1:0.98	0:1.00	0:1.00
777	0:0.99	1:0.99	0:1.00	0:0.98
785	0:1.00	1:0.98	0:0.99	0:1.00
906	0:1.00	1:0.98	0:0.85	0:0.97
918	0:1.00	1:0.99	0:1.00	0:1.00
1011	0:1.00	1:0.99	0:0.99	0:0.98
1020	0:1.00	1:0.99	0:0.99	0:1.00
1088	0:1.00	0:0.99	1:1.00	0:1.00
1100	0:0.99	1:0.95	0:0.98	0:0.99
1140	0:1.00	0:1.00	1:0.96	0:1.00
