Contig:MEG_2217xxDrugsxxbetalactamsxxClass_A_betalactamasesxxCTX,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11
16	0:0.98	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	1:1.00	0:0.99	0:0.98	0:1.00	0:0.98	0:1.00
87	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.99	0:0.99	0:0.99	0:0.99	0:1.00
88	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	1:0.99	0:1.00	0:1.00	0:1.00	0:1.00
89	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	1:0.99	0:0.99	0:0.99	0:1.00	0:1.00
152	1:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00
198	1:0.95	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.96	0:0.99	1:0.94	0:1.00
272	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	1:1.00
301	1:0.90	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	1:0.75	0:1.00	1:0.92	0:1.00
333	0:0.99	1:0.97	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00
354	0:0.99	1:0.97	0:0.98	0:0.99	0:0.97	0:0.98	0:0.99	0:0.99	0:0.97	0:0.98	0:0.99	0:0.98
367	0:0.95	0:0.94	0:0.95	0:0.96	0:0.94	0:0.96	0:0.95	0:1.00	0:0.97	0:0.96	1:0.94	0:0.97
380	1:0.91	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	1:0.92	0:1.00	1:0.70	0:1.00
381	1:0.94	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	1:0.91	0:1.00	1:0.78	0:1.00
384	1:0.93	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	1:0.93	0:1.00	1:0.87	0:1.00
438	1:0.98	1:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	1:0.99	0:1.00	1:0.98	0:0.99
498	0:1.00	0:1.00	1:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00
518	1:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	1:0.99	0:1.00	1:0.99	0:1.00
594	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	1:0.98	0:0.99
619	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	1:1.00	0:0.99	0:1.00
620	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	1:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00
679	1:0.99	0:0.98	0:0.98	0:0.99	0:0.97	0:0.99	0:0.97	0:0.99	0:0.98	0:0.99	0:0.99	0:0.98
695	1:0.98	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	1:0.99	0:0.99
722	1:0.98	1:0.98	1:0.98	1:1.00	0:1.00	1:0.96	1:0.94	1:0.97	1:0.98	1:0.98	1:0.99	1:0.98
748	0:1.00	1:0.98	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00
832	0:0.99	1:0.98	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	1:1.00	0:1.00	1:0.99	0:0.99
