Contig:MEG_814xxDrugsxxAminoglycosidesxxAminoglycoside_OxxnucleotidyltransferasesxxANT3xxDPRIME,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3
24	1:0.82	0:1.00	1:0.96	-
31	1:0.92	0:0.99	1:0.67	-
32	1:0.90	0:1.00	1:0.89	-
33	1:1.00	0:1.00	0:1.00	-
36	1:0.86	0:0.99	1:0.90	-
43	1:0.96	0:1.00	1:0.93	1:1.00
44	1:0.90	0:0.99	1:1.00	1:1.00
47	1:0.80	0:0.99	1:0.94	0:1.00
48	1:0.78	0:1.00	1:0.91	0:1.00
51	1:0.74	0:0.99	1:0.90	1:1.00
53	1:0.65	0:0.99	1:0.91	0:0.90
56	1:0.79	0:1.00	1:0.61	0:1.00
60	1:0.97	0:0.99	1:1.00	1:0.97
66	1:1.00	0:0.98	1:0.96	1:0.99
198	1:0.99	0:0.99	1:1.00	1:0.99
207	1:0.52	0:0.99	1:0.76	1:0.58
477	0:0.91	0:1.00	0:0.69	0:0.98
677	0:0.93	0:0.99	0:0.69	0:0.98
