Contig:MEG_2217xxDrugsxxbetalactamsxxClass_A_betalactamasesxxCTX,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11
16	0:0.99	0:0.99	0:0.98	0:1.00	0:0.98	0:1.00	0:0.99	0:0.98	0:0.98	1:1.00	0:0.99	0:0.99
23	0:0.95	0:0.94	0:0.96	0:0.95	0:0.94	0:0.95	0:1.00	0:0.96	0:0.97	0:0.95	0:0.94	0:0.94
87	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	1:0.98	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00
88	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	1:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99
89	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99
152	0:1.00	0:1.00	0:0.99	0:1.00	1:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00
198	0:1.00	1:0.98	0:0.99	0:1.00	1:0.96	0:0.99	0:1.00	0:1.00	1:0.95	0:1.00	0:0.99	0:1.00
272	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:1.00	0:1.00	0:1.00	0:1.00	0:1.00
301	0:1.00	1:0.64	0:1.00	0:0.99	1:0.91	0:1.00	0:0.99	0:0.98	1:0.89	0:0.99	0:0.99	0:0.99
327	0:0.97	0:0.96	0:0.97	0:0.97	0:0.97	0:0.97	0:0.99	0:0.98	1:0.95	0:0.97	0:0.98	0:0.97
333	0:1.00	0:1.00	1:0.98	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99
354	0:0.98	0:0.97	1:0.94	0:0.97	0:0.98	0:0.96	0:0.99	0:0.98	0:0.98	0:0.98	0:0.97	0:0.98
367	0:0.97	0:0.95	0:0.94	0:0.95	0:0.94	0:0.94	0:0.99	0:0.95	1:0.96	0:0.94	0:0.94	0:0.95
380	0:1.00	1:0.93	0:1.00	0:1.00	1:0.91	0:1.00	0:0.99	0:1.00	1:0.72	0:1.00	0:1.00	0:1.00
381	0:1.00	1:0.94	0:1.00	0:1.00	1:0.92	0:1.00	0:0.99	0:1.00	1:0.80	0:0.99	0:1.00	0:1.00
384	0:1.00	1:0.93	0:1.00	0:1.00	1:0.92	0:1.00	0:0.99	0:1.00	1:0.90	0:1.00	0:1.00	0:1.00
438	0:0.99	1:0.98	1:0.98	0:0.99	1:0.99	0:0.99	0:0.99	0:1.00	1:0.99	0:1.00	0:0.99	0:0.99
468	0:0.98	0:0.98	0:0.99	0:0.98	0:0.98	0:0.98	0:0.99	0:0.99	1:0.98	0:0.98	0:0.99	0:0.98
498	1:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99
513	0:0.94	0:0.97	0:0.94	0:0.95	0:0.95	0:0.95	0:0.99	0:0.96	0:0.94	0:0.96	0:0.95	0:0.95
518	0:1.00	1:1.00	0:1.00	0:1.00	1:0.99	0:0.99	0:1.00	0:1.00	1:0.99	0:1.00	0:1.00	0:0.99
594	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	1:0.98	0:1.00	0:0.99	0:0.99
613	0:0.94	0:0.94	0:0.95	0:0.92	0:0.94	0:0.94	0:0.99	0:0.94	0:0.94	0:0.96	0:0.96	0:0.95
619	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	1:1.00
620	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	1:1.00	0:0.92
679	0:0.98	0:0.99	0:0.98	0:0.98	1:0.98	0:0.98	0:1.00	0:0.98	0:0.99	0:0.98	0:0.98	0:0.98
695	0:0.99	0:0.99	0:1.00	0:0.99	1:0.98	0:0.99	0:0.99	0:1.00	1:0.98	0:0.99	0:1.00	0:0.99
722	1:0.98	1:0.99	1:0.98	1:1.00	1:0.98	0:1.00	1:0.97	1:0.98	1:0.98	1:0.95	1:0.96	1:0.98
748	0:0.99	0:1.00	1:0.98	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00
832	0:0.99	1:0.98	1:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	1:0.97	0:1.00	0:1.00	0:1.00
