Contig:MEG_4311xxDrugsxxMultixxdrug_resistancexxMultixxdrug_ABC_efflux_pumpsxxOPTRA,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7
7	0:1.00	1:1.00	1:0.98	0:1.00	1:0.84	1:0.97	1:0.88	1:0.99
119	0:1.00	0:1.00	1:0.96	1:0.87	1:0.96	1:0.98	1:0.82	0:0.61
335	0:0.96	0:0.83	0:0.93	0:0.97	0:0.98	0:0.75	0:0.98	0:0.84
526	1:0.63	0:1.00	0:0.99	0:0.99	1:0.97	1:0.71	0:0.99	0:1.00
766	0:1.00	0:1.00	1:0.98	0:1.00	0:1.00	0:0.99	0:0.98	0:1.00
849	1:1.00	-	1:0.96	0:1.00	1:0.97	1:0.98	0:1.00	1:1.00
1178	-	-	1:0.94	1:1.00	1:0.98	1:0.99	0:1.00	0:1.00
1533	-	-	0:1.00	0:1.00	1:0.99	0:1.00	0:1.00	0:1.00
1779	-	-	1:0.90	1:0.93	1:0.98	0:1.00	0:0.99	1:0.96
1833	-	-	1:0.97	1:0.97	1:0.97	0:1.00	0:0.99	1:0.97
