Contig:MEG_3690xxDrugsxxLipopeptidesxxColistin_phosphoethanolamine_transferasexxMCR,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7
30	0:1.00	0:1.00	1:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00
36	0:1.00	0:0.98	1:0.93	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00
39	0:1.00	0:1.00	1:0.98	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00
42	0:1.00	0:0.97	1:0.98	1:0.99	0:0.99	0:0.99	0:0.98	0:0.98
67	1:1.00	1:1.00	1:0.99	1:0.99	0:1.00	1:1.00	0:1.00	1:0.99
105	0:1.00	0:1.00	1:0.96	0:0.99	0:0.99	0:0.99	0:0.98	0:0.99
111	0:1.00	0:0.98	1:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99
129	0:1.00	0:0.98	1:0.98	0:0.99	0:0.99	0:0.97	0:1.00	0:0.99
177	0:1.00	0:0.99	1:0.98	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00
182	0:1.00	0:0.98	1:0.99	0:0.99	0:0.99	0:1.00	0:0.98	0:0.99
211	0:1.00	0:0.98	1:0.94	0:0.99	0:0.98	0:0.99	0:0.99	0:1.00
246	0:0.80	0:0.97	1:0.98	0:1.00	0:0.99	0:0.98	0:0.99	0:1.00
336	0:1.00	0:0.99	1:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00
351	0:1.00	0:0.97	1:0.99	0:1.00	0:0.99	0:0.97	0:0.98	0:1.00
354	0:1.00	0:0.99	1:0.99	0:0.99	0:1.00	0:0.98	0:0.99	0:1.00
365	0:1.00	0:0.99	1:0.97	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00
380	0:0.80	0:0.99	1:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99
384	0:1.00	0:0.99	1:0.97	0:1.00	0:1.00	0:0.99	0:0.98	0:0.99
441	0:1.00	0:0.97	1:0.98	0:0.99	0:1.00	0:0.98	0:0.99	0:1.00
459	0:1.00	0:0.96	1:0.97	0:1.00	0:0.99	0:0.98	0:0.99	0:1.00
461	0:1.00	0:1.00	1:0.98	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00
480	0:1.00	0:1.00	1:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.98
528	0:1.00	0:0.99	1:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00
564	0:1.00	0:0.99	1:0.99	0:0.99	0:0.99	0:0.98	0:0.98	0:1.00
573	0:1.00	0:0.99	1:0.97	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99
582	0:1.00	0:0.96	1:0.96	0:0.99	0:0.99	0:0.97	0:0.99	0:1.00
603	0:1.00	0:0.97	1:0.95	0:0.99	0:1.00	0:0.98	0:1.00	0:1.00
609	0:1.00	0:0.99	1:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00
624	0:1.00	0:1.00	1:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00
642	0:1.00	0:0.99	1:0.98	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00
676	0:1.00	0:0.99	1:0.98	0:1.00	0:1.00	0:0.99	0:0.98	0:0.99
699	0:1.00	0:0.99	1:0.93	0:0.99	0:1.00	0:0.99	0:0.98	0:0.99
717	0:1.00	0:0.97	1:0.98	0:0.99	0:1.00	0:0.98	0:0.99	0:1.00
759	0:1.00	0:1.00	1:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00
765	0:1.00	0:1.00	1:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00
789	0:1.00	0:0.98	1:0.98	0:1.00	0:0.99	0:0.98	0:0.99	0:1.00
825	0:1.00	0:1.00	1:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99
840	1:1.00	0:0.97	1:0.96	1:0.96	0:0.98	0:0.98	0:0.99	0:1.00
855	0:1.00	0:0.98	0:0.96	1:1.00	0:0.99	0:0.99	0:0.98	0:0.99
886	0:1.00	0:1.00	0:0.98	0:1.00	0:1.00	0:0.99	0:1.00	1:0.97
890	1:1.00	0:0.99	1:1.00	1:0.99	0:1.00	0:1.00	0:1.00	0:1.00
897	1:1.00	0:0.99	1:0.99	1:0.98	0:0.99	0:1.00	0:0.99	0:0.99
909	1:1.00	0:1.00	1:1.00	1:0.97	0:1.00	0:1.00	0:0.99	0:1.00
910	1:1.00	0:0.99	1:1.00	1:0.99	0:1.00	0:1.00	0:0.99	0:0.99
913	1:1.00	0:0.97	1:0.98	1:0.99	0:0.98	0:0.99	0:0.99	0:0.98
927	1:1.00	0:0.99	1:0.93	1:0.96	0:0.99	0:0.99	0:0.99	0:1.00
937	1:1.00	0:1.00	1:0.98	1:0.99	0:0.99	0:1.00	0:0.99	0:0.99
966	1:1.00	0:1.00	1:0.99	1:0.98	0:0.99	0:1.00	0:1.00	0:1.00
993	1:1.00	0:0.99	0:0.98	1:0.99	0:1.00	0:1.00	0:1.00	0:1.00
1005	1:1.00	0:0.99	1:0.97	1:0.97	0:1.00	0:0.99	0:0.99	0:0.99
1006	0:1.00	0:1.00	1:0.99	0:0.98	0:0.99	0:0.99	0:0.98	0:0.99
1009	1:1.00	0:0.97	1:0.96	1:0.98	0:1.00	0:0.98	0:1.00	0:0.99
1014	1:1.00	0:0.99	1:0.93	1:0.98	0:1.00	0:0.98	0:0.99	0:0.99
1021	1:1.00	0:0.97	1:0.98	1:1.00	0:1.00	0:0.96	0:1.00	0:0.99
1026	1:1.00	0:1.00	1:0.98	1:0.98	0:0.98	0:0.99	0:0.99	0:0.99
1044	0:1.00	0:0.99	1:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99
1074	1:1.00	0:1.00	0:1.00	1:0.97	0:0.99	0:1.00	0:0.99	0:0.99
1080	0:1.00	0:1.00	0:0.99	1:0.97	0:0.99	0:1.00	0:0.99	0:0.98
1118	1:1.00	1:1.00	1:0.99	1:0.99	1:1.00	0:1.00	0:1.00	1:0.98
1158	1:1.00	0:0.99	0:1.00	1:0.98	0:0.99	0:0.99	0:0.99	0:1.00
