Contig:MEG_869xxDrugsxxAminoglycosidesxxAminoglycoside_OxxnucleotidyltransferasesxxANT3xxDPRIME,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7
8	1:0.99	0:1.00	1:0.95	0:1.00	1:0.93	0:1.00	0:1.00	0:0.99
35	0:1.00	1:0.87	0:0.98	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99
56	0:1.00	0:1.00	0:1.00	0:1.00	1:1.00	0:1.00	0:1.00	0:1.00
206	1:0.98	1:0.97	1:0.98	1:0.97	1:0.99	1:0.96	1:0.91	1:0.97
207	1:0.96	0:0.99	1:0.85	0:0.99	1:0.94	0:0.99	0:1.00	0:1.00
261	0:0.99	1:0.81	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99
320	0:0.99	1:0.83	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99
370	0:0.99	0:1.00	0:1.00	1:0.89	0:1.00	0:1.00	0:1.00	0:0.99
377	0:1.00	0:1.00	0:0.99	1:0.92	0:1.00	0:1.00	0:1.00	0:1.00
496	0:0.99	0:0.99	0:1.00	1:0.88	0:1.00	0:1.00	0:1.00	0:0.99
595	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	1:0.90
620	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.79	0:0.99
677	1:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99
695	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	1:0.94
779	0:0.99	0:1.00	0:0.98	0:0.99	0:1.00	1:0.91	0:1.00	0:1.00
783	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	1:0.85	0:1.00	0:0.99
786	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	1:0.85	0:1.00	0:1.00
