Contig:MEG_884xxDrugsxxAminoglycosidesxxAminoglycoside_OxxnucleotidyltransferasesxxANT3xxDPRIME,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11	Haplotype:12	Haplotype:13
7	0:0.99	0:0.99	0:1.00	0:0.98	0:1.00	1:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	-	-	-
25	0:1.00	0:0.99	0:0.99	0:0.98	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	1:0.96	1:1.00	1:1.00
27	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.98	0:1.00	0:0.99	1:0.96	1:0.99	1:1.00
32	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	1:1.00	1:0.95	0:0.90
33	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	1:1.00	1:1.00	0:1.00
48	0:0.99	0:1.00	0:1.00	0:0.98	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	1:0.99	1:0.97
49	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	1:0.97	1:0.88
51	0:1.00	0:1.00	0:0.97	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.97	1:0.96
52	0:0.99	0:1.00	1:0.95	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	1:0.87	1:0.99	1:0.95
60	0:0.99	0:1.00	0:0.99	0:0.96	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	1:0.97	1:0.97	1:0.97
82	1:0.98	1:0.99	1:0.99	1:0.99	1:0.99	1:0.99	0:1.00	1:0.99	1:0.97	1:0.99	1:0.98	1:1.00	1:1.00	1:0.99
83	1:0.98	1:0.99	1:0.99	1:0.99	1:0.98	1:0.99	0:0.99	1:1.00	1:0.99	1:0.99	1:0.99	1:1.00	1:1.00	1:0.98
180	0:1.00	0:1.00	0:0.99	0:0.99	1:0.95	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00
186	1:0.98	0:1.00	0:1.00	0:0.98	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.98	0:1.00
219	0:1.00	0:1.00	0:1.00	1:0.97	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00
240	0:1.00	0:0.99	0:1.00	0:0.99	1:0.98	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00
324	0:0.99	0:0.99	0:1.00	1:0.96	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00
381	0:1.00	0:1.00	0:1.00	1:0.94	0:0.99	0:1.00	0:1.00	0:0.98	0:0.99	0:1.00	0:0.99	0:0.84	0:0.96	1:1.00
383	1:0.98	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.98	0:1.00	0:1.00
575	0:0.99	0:0.99	0:1.00	0:0.97	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	1:0.98	0:1.00	0:0.96	0:0.97	0:1.00
578	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	1:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00
602	1:0.99	1:0.99	0:0.99	0:0.98	0:0.98	1:0.97	0:0.99	1:0.96	1:0.99	0:0.99	1:0.99	1:0.95	1:0.98	1:0.98
659	0:1.00	1:0.97	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00
721	1:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00
723	1:0.98	1:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	1:0.97	1:0.95	0:1.00	0:0.99	1:1.00	1:0.99	1:1.00
750	0:0.99	0:0.99	0:0.99	0:0.99	0:0.98	1:0.96	0:0.99	0:1.00	0:1.00	0:0.99	1:0.59	0:0.98	0:0.99	0:1.00
754	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	1:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00
757	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:0.98	1:0.98	0:0.99	0:1.00	0:1.00	0:1.00
