Contig:MEG_1666xxDrugsxxbetalactamsxxClass_B_betalactamasesxxCFIA,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6
76	0:0.92	0:0.97	0:0.97	0:0.96	1:0.98	0:0.96	0:0.95
81	0:0.99	0:1.00	0:0.99	1:1.00	0:0.99	0:1.00	1:0.99
168	0:0.99	0:0.98	0:0.98	1:0.96	0:0.99	0:0.98	1:0.96
189	0:1.00	0:1.00	0:1.00	1:0.99	0:0.99	0:1.00	1:0.99
236	0:0.95	0:0.97	0:0.97	1:0.98	0:0.99	0:0.97	1:0.97
252	0:0.99	0:0.99	0:0.98	1:0.92	0:0.99	0:0.99	1:0.94
253	0:0.98	0:0.99	0:0.98	1:0.96	0:0.99	0:0.99	1:0.97
255	0:0.99	0:0.99	0:0.98	1:0.99	0:1.00	0:0.98	1:0.98
338	0:0.97	0:0.97	0:0.98	1:0.94	0:0.98	0:0.97	1:0.93
357	0:0.98	0:0.99	0:0.98	0:0.98	1:0.98	0:0.98	0:0.99
360	0:0.99	0:0.99	0:0.99	1:0.93	0:1.00	0:0.98	1:0.95
396	0:1.00	0:0.99	0:0.99	1:1.00	1:0.97	0:0.99	1:0.99
441	0:1.00	1:0.98	1:0.98	1:0.93	1:0.92	0:0.99	1:0.93
442	0:1.00	1:0.99	1:0.99	1:0.88	1:0.90	0:0.98	1:0.88
465	0:0.99	0:1.00	0:1.00	1:0.97	0:0.99	0:1.00	0:1.00
483	0:0.99	0:0.99	0:0.99	1:0.99	0:1.00	0:0.99	0:0.99
591	0:0.96	0:0.98	0:0.99	1:0.98	0:0.99	0:0.97	0:0.99
651	0:1.00	0:0.99	0:0.98	0:0.99	0:1.00	0:0.99	1:0.99
738	1:0.86	1:0.94	1:0.94	1:0.97	1:0.97	0:1.00	0:0.99
740	1:0.85	0:1.00	1:1.00	0:0.99	0:0.99	0:1.00	0:0.99
