Contig:MEG_4362xxMultixxcompoundxxDrug_and_biocide_resistancexxDrug_and_biocide_RND_efflux_pumpsxxOQXB,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10
90	1:0.97	1:0.98	0:0.99	0:1.00	0:1.00	1:0.98	1:0.99	0:1.00	1:0.98	0:1.00	1:0.95
117	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	1:0.98	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00
150	0:1.00	1:0.98	0:1.00	0:0.92	0:0.99	0:1.00	0:0.99	0:1.00	0:0.98	0:0.99	0:1.00
291	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	1:0.98	0:1.00
294	0:0.99	0:0.99	0:1.00	0:1.00	1:0.98	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00
336	0:0.99	0:0.99	0:0.99	0:1.00	1:0.98	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99
348	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	1:0.95	0:1.00
357	1:0.70	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	1:0.99	0:1.00	0:1.00	0:0.99
384	0:0.99	0:0.99	0:1.00	0:1.00	1:0.94	0:0.99	0:1.00	0:0.99	0:0.98	0:1.00	0:0.99
399	0:1.00	0:1.00	0:0.99	0:0.97	1:0.97	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99
435	0:1.00	0:0.99	0:1.00	0:0.95	0:0.99	0:1.00	1:0.98	0:0.99	1:0.90	0:1.00	1:0.95
438	0:0.99	0:0.99	0:0.99	0:0.98	0:1.00	0:0.99	1:0.98	0:0.99	1:0.97	0:0.99	1:0.97
441	0:0.99	0:1.00	0:0.99	0:0.98	0:1.00	0:0.99	1:1.00	0:0.99	1:0.99	0:0.99	1:0.99
442	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	1:0.99	0:1.00	1:0.99	0:0.99	1:0.99
443	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.99	0:0.99	1:0.99	0:1.00	1:1.00
447	1:0.95	0:0.99	0:0.99	0:0.98	1:0.95	1:0.96	0:1.00	1:0.97	0:0.99	1:0.96	0:0.99
522	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	1:0.99	0:0.95	0:1.00	0:0.99
552	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	1:0.96	0:0.97	0:0.99	0:0.99
591	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	1:0.99	0:0.99	0:0.99
609	1:0.99	1:0.98	0:0.98	0:0.98	1:0.97	0:0.99	1:0.98	1:0.98	1:0.98	1:0.98	1:0.97
