Contig:MEG_5964xxDrugsxxFluoroquinolonesxxQuinolone_resistance_protein_QnrxxQNRB,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11
19	0:0.97	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	1:0.99	0:1.00	0:1.00	0:1.00
48	1:1.00	0:0.99	0:0.98	0:1.00	0:0.99	0:1.00	0:1.00	1:1.00	0:0.99	0:0.98	1:0.96	0:1.00
49	0:1.00	1:0.97	0:1.00	0:0.99	0:1.00	1:1.00	0:0.99	0:0.98	0:0.99	0:0.97	0:0.99	0:1.00
153	0:1.00	0:0.99	0:1.00	0:0.98	1:1.00	0:1.00	0:0.99	0:0.98	0:0.99	0:0.97	0:0.99	0:1.00
185	1:0.84	0:1.00	0:1.00	1:0.93	0:1.00	0:1.00	1:0.92	1:0.94	0:1.00	0:0.99	1:0.95	1:1.00
190	1:1.00	1:0.99	0:1.00	1:0.99	1:0.95	1:0.98	1:0.99	1:0.97	1:0.99	1:0.95	1:0.98	1:0.83
270	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:1.00	0:1.00	0:1.00	0:0.98	0:0.99	0:1.00
320	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	1:0.98	0:0.97	0:1.00	0:0.91
321	0:0.96	1:0.98	0:1.00	0:0.99	0:0.99	0:0.99	0:0.98	0:1.00	0:1.00	0:0.99	0:0.99	0:0.97
439	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	1:0.97	0:1.00	0:0.96
453	0:0.96	0:0.98	0:0.99	0:0.99	0:0.98	0:0.99	0:0.99	0:1.00	1:0.98	1:0.97	0:0.99	0:1.00
474	0:1.00	0:0.97	0:0.98	0:0.97	0:0.98	0:0.98	0:0.98	0:0.98	1:0.97	1:0.95	0:0.99	0:0.97
557	0:1.00	0:0.98	0:0.99	0:1.00	0:0.99	0:1.00	0:0.98	0:1.00	0:0.97	0:0.98	1:1.00	0:0.94
633	1:1.00	1:0.97	0:1.00	1:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	1:0.98	0:1.00
634	0:1.00	1:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:0.97
636	1:0.97	2:0.99	0:0.98	1:0.99	0:0.98	0:0.98	0:0.99	0:0.98	0:0.99	0:1.00	1:0.97	0:1.00
642	0:1.00	1:0.97	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00
