Contig:MEG_1792xxDrugsxxbetalactamsxxClass_C_betalactamasesxxCMY,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3
48	0:0.99	1:0.99	0:1.00	0:1.00
54	0:1.00	1:0.98	0:0.99	0:1.00
60	0:1.00	1:0.99	0:0.99	0:0.99
66	0:0.99	1:0.95	0:1.00	0:1.00
77	0:0.99	1:0.99	0:0.99	0:0.98
147	0:1.00	1:0.97	0:0.97	0:1.00
205	0:1.00	1:0.99	0:0.99	0:1.00
234	0:1.00	1:0.98	0:1.00	0:0.98
249	0:1.00	1:0.99	0:1.00	0:0.98
255	0:0.99	1:0.97	0:0.98	0:1.00
373	0:0.99	1:0.97	0:1.00	0:1.00
396	0:1.00	1:0.99	0:0.99	0:0.98
411	0:1.00	1:0.99	0:0.99	0:1.00
437	0:0.99	1:0.99	0:1.00	0:0.98
458	0:0.99	1:0.97	0:1.00	0:1.00
487	0:0.99	1:0.98	0:1.00	0:0.99
489	0:0.99	1:0.99	0:1.00	0:1.00
504	0:1.00	1:0.99	0:1.00	0:1.00
511	0:0.99	0:1.00	1:0.98	0:1.00
536	0:1.00	1:0.98	1:0.99	1:0.94
630	0:1.00	1:0.98	0:0.98	0:0.98
661	0:1.00	0:1.00	1:0.98	1:0.91
682	0:0.99	1:0.99	0:1.00	0:1.00
684	0:0.99	1:0.97	0:1.00	0:0.98
767	0:0.99	1:0.98	0:1.00	0:1.00
777	0:1.00	1:0.98	0:0.98	0:1.00
785	0:1.00	1:0.98	0:0.98	0:1.00
906	0:0.99	1:0.98	0:0.81	0:0.97
918	0:1.00	1:0.99	0:0.99	0:1.00
1011	0:0.99	1:0.99	0:1.00	0:1.00
1020	0:0.99	1:0.98	0:1.00	0:0.98
1088	0:0.99	0:0.99	1:0.99	0:1.00
1100	0:1.00	1:0.96	0:0.99	0:1.00
1140	0:1.00	0:0.99	1:0.97	0:1.00
