Contig:MEG_4247xxDrugsxxbetalactamsxxClass_A_betalactamasesxxOKP,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11
10	0:1.00	0:1.00	0:1.00	0:1.00	1:0.98	0:1.00	0:0.99	0:0.99	1:0.98	0:0.98	0:1.00	0:0.99
25	0:0.99	0:0.99	1:0.99	0:1.00	1:0.99	1:1.00	0:1.00	0:1.00	1:0.99	0:1.00	0:0.99	0:0.99
53	0:0.98	1:0.97	0:1.00	0:0.98	0:0.98	0:0.99	0:0.99	0:0.98	0:0.99	0:0.99	0:0.97	0:0.98
56	0:0.99	1:0.99	0:0.99	1:0.99	0:0.99	0:1.00	0:0.99	1:0.99	0:0.99	1:0.97	0:0.98	1:0.99
71	0:1.00	0:0.99	1:0.98	0:1.00	1:0.99	1:1.00	1:0.99	0:0.99	1:0.99	1:0.99	1:0.99	1:1.00
78	0:0.97	0:0.95	1:0.99	0:0.94	1:0.97	1:0.97	1:0.95	0:0.96	1:0.95	0:0.97	1:0.96	0:0.96
81	0:0.99	1:0.95	1:0.98	1:0.94	1:0.96	1:0.97	1:0.95	1:0.97	1:0.96	1:0.98	1:0.95	1:0.96
85	0:0.99	1:0.95	1:0.97	1:0.97	0:0.99	0:0.98	0:0.99	1:0.97	0:1.00	1:0.94	0:0.99	1:0.97
92	0:0.99	1:0.99	1:0.99	1:1.00	1:0.99	1:0.99	1:0.99	1:0.99	1:0.99	1:1.00	1:1.00	1:0.98
144	0:0.98	0:0.97	0:1.00	0:0.98	0:0.98	0:0.98	1:0.96	0:0.97	0:0.99	0:0.99	1:0.95	0:0.98
189	0:0.99	0:0.98	0:0.99	0:0.97	0:0.99	0:0.98	0:0.98	1:0.97	0:1.00	0:0.98	0:0.98	0:0.98
209	0:0.99	0:0.98	0:0.99	0:0.98	0:0.98	0:0.98	0:1.00	0:0.98	0:0.97	0:0.99	1:1.00	0:0.97
234	0:0.99	0:1.00	0:1.00	1:0.98	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99
257	0:0.97	1:0.98	1:0.97	0:0.97	1:0.98	1:0.97	1:0.98	1:0.98	1:0.98	1:0.99	1:0.98	1:0.98
348	0:0.98	1:0.97	0:1.00	0:0.98	0:0.98	0:0.98	0:0.98	1:0.96	0:0.99	0:1.00	0:0.98	0:0.99
409	0:1.00	0:1.00	0:1.00	1:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00
442	0:0.97	0:0.98	0:0.98	0:0.98	1:0.98	0:0.97	0:0.98	0:0.98	1:0.98	0:0.99	0:0.97	0:0.98
471	0:1.00	1:0.98	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99
474	0:0.96	0:0.98	0:0.99	0:0.98	1:0.95	0:0.97	0:0.97	0:0.98	1:0.92	0:0.97	0:0.98	0:0.98
501	0:0.99	1:0.94	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	1:0.94
550	0:0.98	0:0.97	0:1.00	0:0.98	0:1.00	0:0.96	0:0.98	0:0.98	1:0.92	0:0.97	0:0.97	0:0.98
580	0:0.99	0:0.98	0:1.00	0:0.98	1:0.98	1:0.98	0:0.98	0:1.00	1:0.97	1:0.98	0:0.98	0:0.99
582	0:1.00	0:1.00	0:0.99	0:1.00	1:0.99	1:0.98	0:1.00	0:1.00	1:0.99	1:1.00	0:1.00	0:0.99
585	0:0.96	0:0.94	0:0.99	0:0.95	0:0.96	0:0.97	0:0.94	0:0.95	0:0.95	0:0.96	0:0.95	0:0.95
590	0:1.00	1:0.98	1:0.99	0:0.99	1:0.98	1:0.98	0:1.00	1:0.97	1:0.99	1:0.97	0:0.99	1:0.99
636	0:0.99	1:0.96	0:0.99	0:0.99	1:0.99	1:0.98	0:0.99	0:0.99	1:0.98	1:0.99	0:0.99	0:0.98
642	0:0.99	0:0.99	1:0.98	0:1.00	0:1.00	0:0.99	0:0.99	1:0.99	0:0.99	0:0.99	0:0.99	0:0.99
717	0:0.98	0:0.97	0:1.00	0:0.98	1:0.97	1:0.97	0:0.99	0:0.98	1:0.97	0:0.99	0:0.98	0:0.97
732	0:1.00	0:0.99	1:0.98	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00
798	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:0.98	0:0.99	1:0.94	0:0.98	0:0.99	0:0.99
804	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	1:0.98	0:0.99	0:1.00	0:0.99	0:0.99
824	0:0.97	0:0.98	0:0.99	1:0.99	0:0.98	0:0.96	1:0.98	0:0.98	0:0.99	0:0.98	1:0.97	0:0.97
855	0:1.00	1:1.00	0:1.00	0:0.99	1:0.99	0:1.00	0:1.00	1:0.99	1:0.98	0:1.00	0:1.00	1:0.99
