Contig:MEG_1434xxDrugsxxbetalactamsxxClass_A_betalactamasesxxBLAZ,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11
46	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	1:0.98	0:0.99	0:0.98	0:0.99	1:0.97	0:1.00
96	0:0.96	0:0.94	0:0.97	0:0.99	0:0.98	0:0.98	0:0.95	1:0.96	0:0.97	0:0.98	0:0.98	0:0.97
230	1:1.00	0:0.98	1:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.97	0:1.00	0:0.98
232	0:1.00	0:0.95	0:1.00	0:1.00	1:1.00	1:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00
345	0:1.00	1:1.00	0:0.99	1:0.99	0:1.00	0:0.99	0:0.99	0:1.00	1:1.00	0:1.00	0:0.99	1:0.99
346	0:1.00	1:1.00	0:1.00	1:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.98
360	0:1.00	0:1.00	0:0.99	0:1.00	0:0.93	0:0.98	0:0.99	1:0.98	0:0.99	0:1.00	0:0.99	0:1.00
381	0:1.00	0:1.00	0:1.00	0:1.00	1:1.00	1:0.95	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99
435	1:1.00	1:1.00	0:1.00	0:1.00	1:1.00	0:1.00	1:1.00	1:0.92	0:1.00	0:0.99	0:1.00	1:1.00
437	1:0.87	1:0.92	1:0.98	1:0.98	1:1.00	1:0.94	1:0.98	1:0.89	1:0.96	0:1.00	1:0.97	1:0.94
663	0:1.00	0:0.96	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	1:0.97	0:1.00	0:1.00	0:0.99	0:0.99
721	1:0.94	1:0.96	1:0.98	1:0.99	1:1.00	1:1.00	0:1.00	1:0.98	1:0.97	0:1.00	0:0.99	1:0.98
817	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.98	0:1.00	1:0.97	0:1.00	0:1.00	1:0.97
829	1:1.00	1:1.00	1:1.00	1:0.99	1:1.00	1:1.00	1:0.98	1:0.98	1:0.98	0:1.00	1:0.99	1:0.99
