Contig:MEG_4529xxDrugsxxbetalactamsxxClass_D_betalactamasesxxOXA,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4
6	1:1.00	0:0.99	1:0.98	1:1.00	1:0.98
15	0:1.00	0:0.99	1:0.99	0:1.00	0:1.00
54	0:1.00	0:0.99	0:1.00	0:0.99	1:0.98
73	1:0.99	0:0.99	0:0.99	1:0.99	0:1.00
106	1:0.96	0:0.99	1:0.96	1:0.94	1:0.96
107	0:0.90	0:0.99	0:0.91	0:0.79	0:0.92
159	0:0.99	0:1.00	1:0.98	0:1.00	0:0.99
163	1:0.96	0:1.00	1:0.97	1:0.95	1:0.97
176	1:0.99	0:0.99	1:0.98	1:1.00	1:0.99
306	0:0.99	0:0.99	1:0.96	0:0.99	0:1.00
315	1:0.98	0:1.00	0:1.00	1:0.94	1:0.99
316	0:0.91	0:1.00	0:0.99	1:0.99	0:0.73
318	1:0.97	0:1.00	0:0.99	1:0.98	1:0.96
319	1:0.99	0:0.98	0:0.98	2:0.97	1:0.83
328	1:0.99	0:0.99	0:0.99	1:1.00	0:0.99
349	0:0.98	0:1.00	0:0.99	0:0.97	1:0.95
366	1:0.99	0:1.00	0:1.00	1:0.97	1:0.99
369	1:1.00	0:1.00	0:0.99	1:0.99	0:1.00
390	1:0.97	0:1.00	0:1.00	1:0.99	0:1.00
420	0:0.99	0:1.00	1:0.98	0:1.00	0:0.99
426	1:0.96	0:1.00	0:1.00	1:0.97	0:0.99
438	0:1.00	0:0.99	0:0.99	0:1.00	1:0.98
466	1:0.99	0:1.00	0:1.00	1:0.99	0:1.00
522	1:0.99	0:1.00	1:0.98	1:1.00	1:0.99
528	0:0.99	0:0.99	1:0.98	0:0.98	0:0.99
540	1:0.97	0:0.99	0:0.99	1:0.97	1:0.97
610	1:0.93	0:0.99	1:0.98	1:0.91	0:1.00
673	0:0.96	0:0.99	1:0.98	0:0.92	0:0.99
720	1:0.95	0:0.99	1:0.98	1:0.91	0:0.99
732	0:0.98	0:1.00	0:0.99	0:0.98	1:0.98
762	1:0.99	0:1.00	1:0.97	1:0.99	1:0.98
766	0:0.99	0:1.00	1:0.97	0:0.99	0:0.99
797	0:0.99	0:0.99	1:0.97	0:0.99	0:0.99
801	1:0.99	0:1.00	1:0.99	1:0.97	1:0.98
809	1:1.00	0:1.00	1:0.99	1:0.99	1:0.98
