Contig:MEG_4529xxDrugsxxbetalactamsxxClass_D_betalactamasesxxOXA,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4
6	1:1.00	1:1.00	0:0.99	1:0.98	1:0.98
15	0:1.00	0:0.99	0:0.99	0:1.00	1:0.99
54	0:1.00	0:0.99	0:0.99	1:0.98	0:1.00
73	1:0.99	1:1.00	0:0.99	0:1.00	0:0.99
106	1:0.96	1:0.95	0:0.99	1:0.96	1:0.96
107	0:0.89	0:0.84	0:0.99	0:0.92	0:0.91
159	0:0.99	0:1.00	0:1.00	0:0.99	1:0.98
163	1:0.96	1:0.95	0:1.00	1:0.97	1:0.97
176	1:0.99	1:1.00	0:0.99	1:0.99	1:0.98
306	0:0.99	0:0.99	0:0.99	0:1.00	1:0.96
315	1:0.99	1:0.92	0:1.00	1:0.99	0:1.00
316	0:1.00	1:1.00	0:1.00	0:0.73	0:0.99
318	1:0.97	1:0.96	0:1.00	1:0.96	0:0.99
319	1:0.99	2:0.66	0:0.98	1:0.83	0:0.98
328	1:0.99	1:1.00	0:0.99	0:0.99	0:0.99
349	0:0.98	0:0.98	0:1.00	1:0.95	0:0.99
366	1:0.99	1:0.97	0:1.00	1:0.99	0:1.00
369	1:0.99	1:1.00	0:1.00	0:1.00	0:0.99
390	1:0.97	1:0.99	0:1.00	0:1.00	0:1.00
420	0:0.99	0:1.00	0:1.00	0:0.99	1:0.98
426	1:0.96	1:0.97	0:1.00	0:0.99	0:1.00
438	0:1.00	0:1.00	0:0.99	1:0.98	0:0.99
466	1:0.99	1:0.98	0:1.00	0:1.00	0:1.00
522	1:0.99	1:1.00	0:1.00	1:0.99	1:0.98
528	0:0.99	0:0.98	0:0.99	0:0.99	1:0.98
540	1:0.97	1:0.96	0:0.99	1:0.97	0:0.99
610	1:0.93	1:0.91	0:0.99	0:1.00	1:0.98
673	0:0.95	0:0.94	0:0.99	0:0.99	1:0.98
720	1:0.96	1:0.90	0:0.99	0:0.99	1:0.98
732	0:0.98	0:0.98	0:1.00	1:0.98	0:0.99
762	1:0.99	1:0.99	0:1.00	1:0.98	1:0.97
766	0:1.00	0:0.98	0:1.00	0:0.99	1:0.97
797	0:0.99	0:0.99	0:0.99	0:0.99	1:0.97
801	1:0.99	1:0.97	0:1.00	1:0.98	1:0.99
809	1:1.00	1:0.99	0:1.00	1:0.98	1:0.99
