Contig:MEG_869xxDrugsxxAminoglycosidesxxAminoglycoside_OxxnucleotidyltransferasesxxANT3xxDPRIME,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8
35	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	1:0.98	0:1.00	0:0.99
151	0:1.00	0:0.99	0:1.00	0:0.99	1:0.98	0:1.00	0:0.99	0:0.99	0:1.00
159	0:0.99	0:0.99	0:0.99	0:1.00	1:0.98	0:0.99	0:0.99	0:1.00	0:1.00
163	0:1.00	0:0.99	0:1.00	0:1.00	1:0.97	0:0.99	0:0.99	0:1.00	0:1.00
170	0:0.99	0:1.00	0:1.00	0:0.99	1:0.94	0:0.98	0:0.99	0:0.99	0:0.99
183	0:1.00	0:0.99	0:1.00	0:0.98	1:0.99	0:1.00	0:0.99	0:0.99	0:0.99
191	0:1.00	0:0.99	0:0.99	0:0.99	1:0.98	0:0.99	0:0.99	0:1.00	0:1.00
195	0:0.99	0:0.99	0:1.00	0:1.00	1:0.99	0:0.99	0:1.00	0:1.00	0:1.00
199	0:0.99	0:0.99	0:1.00	0:1.00	1:0.98	0:1.00	0:0.99	0:0.99	0:1.00
204	0:1.00	0:1.00	0:1.00	0:0.99	1:0.99	0:1.00	0:1.00	0:1.00	0:1.00
206	1:0.97	1:0.98	1:0.95	1:0.88	1:0.97	1:0.97	1:0.97	1:0.99	1:0.97
211	0:0.99	0:0.99	0:1.00	0:0.99	1:0.99	0:1.00	0:0.99	0:0.98	0:0.99
214	0:0.98	0:0.98	0:0.93	0:0.89	0:0.96	0:0.99	0:0.99	0:0.99	0:0.99
216	0:0.99	0:0.99	0:1.00	0:0.99	1:1.00	0:1.00	0:0.98	0:0.99	0:1.00
217	0:0.99	0:1.00	0:1.00	0:1.00	1:0.99	0:0.99	0:1.00	0:0.99	0:0.99
227	0:0.99	0:0.99	0:0.99	0:0.99	1:0.91	0:0.99	0:0.98	0:0.99	0:0.99
245	0:1.00	0:0.99	0:0.95	0:0.98	1:0.98	0:1.00	0:0.99	0:1.00	0:0.99
256	0:0.99	0:0.98	0:1.00	0:0.99	1:0.98	0:1.00	0:1.00	0:0.99	0:1.00
261	0:1.00	0:0.99	0:0.98	0:0.99	0:0.98	0:0.99	1:0.96	0:0.99	0:1.00
268	0:0.99	0:1.00	0:1.00	0:1.00	1:0.95	0:1.00	0:1.00	0:1.00	0:0.99
273	0:1.00	0:1.00	1:1.00	0:1.00	1:0.99	0:1.00	0:1.00	0:0.99	0:1.00
279	0:0.99	0:1.00	0:1.00	0:0.99	1:0.99	0:0.99	0:0.99	0:0.99	0:0.99
291	0:0.99	0:1.00	0:0.99	0:0.99	1:0.98	0:0.99	0:0.99	0:0.99	0:0.99
306	0:0.99	0:0.99	0:0.98	0:0.99	1:0.97	0:0.99	0:1.00	0:0.99	0:1.00
316	0:1.00	1:0.99	0:0.99	0:0.98	0:0.98	0:1.00	0:0.99	0:1.00	0:0.99
318	0:1.00	0:0.98	0:1.00	0:0.99	1:0.98	0:0.99	0:0.99	0:0.99	0:1.00
320	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	1:0.98	0:1.00	0:1.00
370	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	1:0.97	0:1.00	0:0.99	0:0.99
377	0:1.00	0:0.99	0:0.99	0:0.98	0:1.00	1:0.99	0:0.99	0:1.00	0:0.99
448	0:0.99	0:0.98	0:0.99	0:0.90	0:0.99	0:0.99	0:0.99	0:0.99	0:0.98
496	0:1.00	0:0.99	0:0.99	0:1.00	0:0.98	1:0.97	0:1.00	0:0.98	0:0.99
569	0:0.99	1:0.97	0:0.95	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99
595	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	1:0.93
617	0:0.99	0:0.99	0:0.97	0:0.90	0:0.98	0:1.00	0:0.99	0:0.99	0:0.99
620	1:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00
682	0:0.99	1:0.98	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99
695	0:0.99	0:0.99	0:0.98	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	1:0.94
712	0:0.99	0:1.00	0:0.88	0:0.97	0:0.98	1:0.98	0:1.00	0:1.00	0:0.99
779	0:0.99	0:0.99	0:0.96	0:0.99	0:0.98	0:1.00	0:1.00	1:0.98	0:1.00
783	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	1:0.95	0:0.99
786	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.98	0:1.00
