Contig:MEG_869xxDrugsxxAminoglycosidesxxAminoglycoside_OxxnucleotidyltransferasesxxANT3xxDPRIME,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8
35	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	1:0.98	0:0.99
151	0:1.00	0:0.99	1:0.98	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99
159	0:0.99	0:1.00	1:0.98	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99
163	0:1.00	0:1.00	1:0.97	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99
170	0:0.99	0:0.99	1:0.94	0:1.00	0:0.99	0:0.98	0:1.00	0:0.99	0:0.99
183	0:1.00	0:0.99	1:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.97
191	0:1.00	0:1.00	1:0.98	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99
195	0:0.99	0:1.00	1:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00
199	0:0.99	0:0.99	1:0.98	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00
204	0:1.00	0:1.00	1:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99
206	1:0.97	1:0.99	1:0.97	1:0.98	1:0.97	1:0.97	1:0.95	1:0.97	1:0.88
211	0:0.99	0:0.98	1:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99
214	0:0.98	0:0.99	0:0.96	0:0.98	0:0.99	0:0.99	0:0.93	0:0.99	0:0.89
216	0:0.99	0:0.99	1:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.98	0:0.99
217	0:0.99	0:0.99	1:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00
227	0:0.99	0:0.99	1:0.91	0:0.99	0:0.99	0:0.99	0:0.99	0:0.98	0:0.99
245	0:1.00	0:1.00	1:0.98	0:0.99	0:0.99	0:1.00	0:0.95	0:0.99	0:0.99
256	0:0.99	0:0.99	1:0.98	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99
261	0:1.00	0:0.99	0:0.98	0:0.99	0:1.00	0:0.99	0:0.98	1:0.96	0:0.99
268	0:0.99	0:1.00	1:0.95	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00
273	0:1.00	0:0.99	1:0.99	0:1.00	0:0.99	0:1.00	1:1.00	0:1.00	0:1.00
279	0:0.99	0:0.99	1:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99
291	0:0.99	0:0.99	1:0.98	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99
306	0:0.99	0:0.99	1:0.97	0:1.00	0:1.00	0:0.99	0:0.98	0:1.00	0:0.99
316	0:1.00	0:1.00	0:0.98	1:0.98	0:0.99	0:1.00	0:0.99	0:0.99	0:0.98
318	0:1.00	0:0.99	1:0.98	0:0.98	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99
320	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	1:0.98	0:0.99
370	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	1:0.97	0:1.00	0:1.00	0:1.00
377	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	1:0.99	0:0.99	0:0.99	0:0.99
448	0:0.99	0:0.99	0:0.99	0:0.98	0:0.98	0:0.99	0:0.99	0:0.99	0:0.91
496	0:1.00	0:0.98	0:0.98	0:1.00	0:0.99	1:0.97	0:0.99	0:1.00	0:1.00
569	0:0.99	0:0.99	0:1.00	1:0.94	0:0.99	0:0.99	0:0.95	0:0.99	0:0.99
595	0:1.00	0:0.99	0:1.00	0:0.99	1:0.93	0:0.99	0:0.99	0:0.99	0:1.00
617	0:0.99	0:0.99	0:0.98	0:1.00	0:0.99	0:1.00	0:0.97	0:0.99	0:0.91
620	1:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00
682	0:0.99	0:1.00	0:1.00	1:0.97	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99
695	0:0.99	0:0.99	0:0.99	0:0.99	1:0.94	0:1.00	0:0.98	0:0.99	0:1.00
712	0:0.99	0:1.00	0:0.98	0:0.99	0:0.99	1:0.98	0:0.88	0:1.00	0:0.97
779	0:0.99	1:0.98	0:0.98	0:0.99	0:1.00	0:1.00	0:0.96	0:1.00	0:0.99
783	0:0.99	1:0.95	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99
786	0:0.99	1:0.98	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00
