Contig:MEG_8139xxDrugsxxbetalactamsxxClass_B_betalactamasesxxGOB,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6
34	0:0.98	1:0.96	0:0.99	1:0.96	0:0.99	0:1.00	0:0.99
50	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	1:0.95
96	0:1.00	0:1.00	0:1.00	0:1.00	1:0.98	0:1.00	1:0.99
100	0:0.99	1:0.99	0:1.00	1:0.98	0:1.00	0:1.00	0:1.00
111	0:0.99	1:0.97	0:1.00	1:1.00	0:1.00	0:1.00	0:1.00
220	0:1.00	0:1.00	0:0.99	0:1.00	1:1.00	0:0.99	1:0.99
269	1:1.00	0:0.98	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00
324	0:1.00	1:0.97	0:1.00	1:0.97	0:1.00	0:1.00	0:1.00
328	0:0.98	1:0.91	0:0.99	1:0.87	0:0.99	0:0.99	0:0.99
359	0:0.99	0:1.00	0:1.00	0:1.00	1:0.99	0:1.00	1:0.98
374	1:0.98	1:0.96	0:0.99	1:0.98	0:0.99	0:0.99	0:1.00
396	0:0.95	1:0.82	0:0.96	1:0.91	0:0.98	0:0.95	0:0.97
399	0:0.99	1:1.00	0:0.99	1:0.98	0:1.00	0:0.99	0:1.00
456	1:0.94	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00
494	0:0.99	1:0.96	0:1.00	1:0.97	0:1.00	0:0.99	0:1.00
497	0:0.98	1:0.97	0:1.00	1:0.99	0:1.00	0:1.00	0:1.00
519	1:0.96	0:0.98	0:0.99	0:0.98	0:0.99	0:0.99	0:1.00
606	0:0.98	1:0.94	0:0.98	1:0.96	0:0.97	0:0.98	0:0.98
607	0:1.00	1:0.97	0:0.99	1:0.99	0:0.99	0:0.99	0:0.99
669	0:0.99	1:0.96	0:1.00	1:0.98	0:1.00	0:1.00	0:1.00
673	0:0.98	0:0.74	0:0.99	1:0.99	0:0.99	0:0.99	0:0.99
674	0:0.99	1:0.78	0:1.00	1:0.95	0:1.00	0:1.00	0:1.00
675	0:0.99	0:0.99	0:0.99	1:0.95	0:0.98	0:0.99	0:0.99
678	0:0.99	0:0.98	0:0.99	1:0.95	0:0.97	0:0.99	0:0.98
679	0:1.00	1:0.92	0:1.00	1:0.98	0:1.00	0:0.99	0:1.00
680	0:1.00	1:0.97	0:0.99	1:0.99	0:0.99	0:1.00	0:1.00
681	0:0.99	1:1.00	0:1.00	1:0.99	0:1.00	0:1.00	0:1.00
683	0:0.99	1:1.00	0:0.99	1:0.99	0:1.00	0:0.99	0:1.00
684	0:0.99	1:0.97	0:1.00	1:0.99	0:1.00	0:1.00	0:1.00
690	0:1.00	1:0.85	0:0.99	1:0.90	0:1.00	0:0.99	0:0.99
693	0:1.00	1:1.00	0:1.00	1:0.98	0:1.00	0:1.00	0:1.00
705	0:0.99	1:0.96	0:0.99	1:0.99	0:1.00	0:1.00	0:0.99
706	0:1.00	1:0.97	0:0.99	1:0.99	0:1.00	0:0.99	0:0.99
717	0:0.99	1:0.99	0:1.00	1:0.99	0:1.00	0:0.99	0:1.00
720	0:0.99	1:1.00	0:1.00	1:0.99	0:0.99	0:0.99	0:1.00
741	0:0.98	1:0.96	0:0.98	1:0.98	0:1.00	0:1.00	0:0.99
841	0:0.98	1:0.97	1:1.00	1:0.95	0:0.98	0:1.00	0:0.96
861	0:1.00	1:0.95	0:1.00	1:0.97	1:1.00	0:0.99	0:1.00
866	0:1.00	1:0.97	0:1.00	1:0.99	0:1.00	0:1.00	0:1.00
