Contig:MEG_4311xxDrugsxxMultixxdrug_resistancexxMultixxdrug_ABC_efflux_pumpsxxOPTRA,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6
7	0:1.00	1:0.99	1:0.98	1:0.99	1:0.88	1:0.84	1:0.97
119	1:0.93	1:1.00	1:0.98	0:1.00	1:0.93	1:0.96	1:0.98
335	0:0.96	1:0.53	0:0.93	0:0.99	0:0.98	0:0.98	0:0.75
526	0:0.99	0:1.00	0:0.99	0:0.99	0:0.98	1:0.97	1:0.71
766	0:1.00	0:1.00	1:0.98	0:0.99	0:0.98	0:1.00	0:0.99
849	0:1.00	1:1.00	1:0.96	1:1.00	0:1.00	1:0.97	1:0.98
1178	1:1.00	0:1.00	1:0.95	0:0.99	0:1.00	1:0.98	1:0.99
1533	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.99	0:1.00
1779	1:0.93	1:1.00	1:0.90	1:0.97	0:0.99	1:0.98	0:1.00
1833	1:0.97	1:1.00	1:0.97	1:0.96	0:1.00	1:0.97	0:1.00
