Contig:MEG_3331xxDrugsxxbetalactamsxxClass_B_betalactamasesxxIMP,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4
142	0:1.00	0:0.98	1:1.00	0:0.99	0:1.00
145	0:1.00	1:0.98	0:1.00	0:1.00	0:1.00
146	0:1.00	0:1.00	0:1.00	1:1.00	0:0.98
189	0:0.99	0:1.00	0:1.00	0:1.00	1:0.99
190	0:0.99	0:0.99	0:0.99	0:0.99	1:0.99
273	0:0.99	0:1.00	0:1.00	0:1.00	1:0.99
314	0:1.00	0:1.00	0:0.99	0:1.00	1:0.99
496	0:1.00	0:0.99	0:1.00	0:0.99	1:0.98
502	0:1.00	1:0.91	1:0.96	1:0.97	1:0.87
503	0:0.99	0:0.92	0:0.94	0:0.93	0:0.92
640	0:0.99	0:0.99	0:0.99	0:1.00	1:0.96
702	0:1.00	0:1.00	0:0.99	0:0.99	1:0.98
