Contig:MEG_2387xxDrugsxxbetalactamsxxClass_A_betalactamasesxxCTX,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9
60	0:1.00	1:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99
110	0:0.99	1:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99
117	0:0.99	1:0.98	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00
132	0:0.99	1:0.96	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99
135	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	1:0.96
141	0:0.97	1:0.98	0:0.99	0:0.98	0:0.97	0:0.97	0:0.96	0:0.97	0:0.98	0:0.98
240	0:0.99	1:0.97	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99
269	1:0.99	1:0.97	1:1.00	0:1.00	0:1.00	1:0.98	0:1.00	1:0.96	1:1.00	0:1.00
270	0:0.99	1:0.98	0:0.98	0:0.99	0:0.99	0:0.98	0:1.00	0:0.99	0:0.99	0:0.99
305	0:1.00	1:0.98	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00
309	0:1.00	1:0.98	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00
310	0:0.99	1:0.97	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99
334	0:0.99	1:0.97	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00
346	1:0.99	0:1.00	0:1.00	0:1.00	1:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00
360	0:0.99	1:0.96	0:0.99	0:0.98	0:0.97	0:0.98	0:0.98	0:1.00	0:0.99	0:0.98
363	0:0.97	1:0.93	0:0.98	0:0.98	0:0.97	0:0.97	0:0.98	0:0.98	0:0.99	0:0.98
366	0:1.00	1:0.97	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99
372	0:0.99	1:0.94	0:0.98	0:0.99	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99	0:0.98
394	0:1.00	1:0.96	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99
396	0:0.98	0:0.99	0:1.00	0:1.00	0:0.98	0:0.99	0:0.98	1:1.00	0:1.00	0:0.99
403	0:0.99	1:0.98	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99
407	1:0.98	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00
420	0:0.99	1:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99
476	0:1.00	1:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00
495	0:1.00	1:0.97	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99
499	0:1.00	1:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00
516	0:1.00	1:0.99	0:0.98	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99
604	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.96
704	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	1:1.00	0:1.00	0:0.99	0:1.00	0:0.99
755	1:0.99	0:0.99	0:1.00	1:1.00	1:0.99	0:1.00	0:1.00	1:0.97	1:1.00	0:1.00
