Contig:MEG_2605xxDrugsxxbetalactamsxxClass_C_betalactamasesxxDHA,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11
5	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	1:0.94	1:0.91	0:1.00	0:1.00
12	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	2:0.91	1:0.97	0:0.99	0:0.99
13	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.98	0:1.00	0:0.99	1:0.92	0:1.00	0:0.99	0:1.00
33	0:0.98	0:0.98	0:0.97	0:0.98	0:0.96	0:0.95	0:0.96	0:0.97	1:0.97	0:1.00	0:1.00	0:0.99
36	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	1:0.98	1:0.99	0:0.99	0:0.99
51	0:0.96	0:0.97	0:0.97	0:0.97	0:0.97	0:1.00	1:1.00	0:0.97	0:0.97	0:0.99	0:1.00	0:0.99
66	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	1:0.99	0:0.99	0:0.99
75	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	1:0.99	0:0.99	0:1.00
84	0:0.98	0:0.98	0:0.98	0:0.99	0:0.99	0:0.99	0:0.98	0:0.99	1:0.97	0:1.00	0:1.00	0:0.99
86	1:0.96	1:0.96	1:0.98	0:0.97	1:0.97	1:0.96	1:0.96	1:0.98	1:0.99	1:0.98	1:0.99	1:0.98
129	0:0.99	0:1.00	0:1.00	0:0.99	1:0.98	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00
135	0:0.98	0:0.98	1:0.94	0:0.98	0:0.98	0:0.95	0:0.98	0:0.98	0:0.99	0:1.00	0:0.99	0:0.99
156	0:0.99	1:0.96	0:0.98	0:0.98	1:0.95	0:0.97	0:0.99	0:0.98	0:0.99	1:0.96	0:1.00	0:0.99
165	0:1.00	1:0.99	0:1.00	0:0.99	1:0.99	0:0.99	0:1.00	0:1.00	0:0.99	1:0.98	0:1.00	0:0.99
167	0:0.98	0:0.98	0:0.99	0:0.99	1:0.96	0:0.98	0:0.99	0:0.98	0:0.99	0:0.99	0:1.00	0:0.99
186	1:0.98	0:0.99	1:0.98	0:0.99	1:0.97	0:0.99	0:0.99	0:0.99	0:0.99	1:0.98	0:1.00	0:1.00
199	1:0.98	1:0.99	1:0.99	0:1.00	1:0.99	0:1.00	0:1.00	0:0.99	0:1.00	1:0.98	0:0.99	0:0.99
216	1:0.98	0:1.00	1:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99
243	0:0.97	1:0.96	0:0.98	0:0.97	0:0.98	0:0.98	0:0.96	0:0.97	0:0.96	0:1.00	0:0.98	0:0.98
288	1:0.96	0:0.99	1:0.97	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.98	0:1.00	0:0.99	0:1.00
307	0:0.99	1:0.98	1:0.98	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	1:0.96	0:0.99	0:1.00
308	0:0.98	1:0.99	0:0.98	0:0.98	0:0.99	0:0.98	0:0.99	0:0.98	0:0.99	0:1.00	0:1.00	0:0.99
310	0:1.00	1:0.99	1:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99
318	0:1.00	1:0.99	1:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.98	0:0.99
