Contig:MEG_2605xxDrugsxxbetalactamsxxClass_C_betalactamasesxxDHA,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11
5	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.94	0:0.99	0:1.00	1:0.91	0:1.00	0:0.99
12	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	2:0.91	0:0.99	0:0.99	1:0.97	0:0.99	0:0.98
13	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	1:0.92	0:0.98	0:1.00	0:1.00	0:1.00	0:1.00
33	0:0.98	0:1.00	0:0.97	0:0.96	0:0.98	0:0.99	1:0.97	0:0.95	0:0.97	0:1.00	0:0.96	0:0.98
36	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	1:0.98	0:1.00	0:1.00	1:0.99	0:0.99	0:0.99
51	0:0.96	0:1.00	0:0.97	0:0.97	0:0.97	0:0.99	0:0.97	0:1.00	0:0.97	0:0.99	1:1.00	0:0.97
66	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	1:0.99	0:0.99	0:0.99
75	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	1:0.99	0:0.99	0:0.99
84	0:0.98	0:1.00	0:0.99	0:0.99	0:0.98	0:0.99	1:0.97	0:0.99	0:0.98	0:1.00	0:0.98	0:0.99
86	1:0.96	1:0.99	1:0.98	1:0.97	1:0.96	1:0.98	1:0.98	1:0.95	1:0.98	1:0.98	1:0.96	0:0.97
129	0:0.99	0:0.99	0:1.00	1:0.98	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99
135	0:0.98	0:0.99	0:0.98	0:0.98	0:0.98	0:0.99	0:0.99	0:0.95	1:0.94	0:1.00	0:0.98	0:0.98
156	0:0.99	0:1.00	0:0.98	1:0.95	1:0.96	0:0.99	0:0.99	0:0.97	0:0.98	1:0.96	0:0.99	0:0.98
165	0:1.00	0:1.00	0:1.00	1:0.99	1:0.99	0:0.99	0:0.99	0:0.99	0:1.00	1:0.98	0:1.00	0:0.99
167	0:0.98	0:1.00	0:0.98	1:0.96	0:0.98	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99
186	1:0.98	0:1.00	0:0.99	1:0.97	0:0.99	0:1.00	0:0.99	0:0.99	1:0.98	1:0.98	0:0.99	0:0.99
199	1:0.98	0:0.99	0:0.99	1:0.99	1:0.99	0:0.99	0:1.00	0:1.00	1:0.99	1:0.98	0:1.00	0:1.00
216	1:0.98	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	1:0.99	0:0.99	0:0.99	0:1.00
243	0:0.97	0:0.98	0:0.97	0:0.98	1:0.96	0:0.98	0:0.96	0:0.98	0:0.98	0:1.00	0:0.97	0:0.97
288	1:0.96	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.98	0:1.00	1:0.97	0:1.00	0:0.99	0:0.99
307	0:0.99	0:0.99	0:1.00	0:1.00	1:0.98	0:1.00	0:1.00	0:0.99	1:0.98	1:0.96	0:0.99	0:1.00
308	0:0.98	0:1.00	0:0.98	0:0.99	1:0.99	0:0.99	0:0.99	0:0.98	0:0.98	0:1.00	0:0.99	0:0.98
310	0:1.00	0:1.00	0:0.99	0:1.00	1:0.99	0:0.99	0:0.99	0:1.00	1:0.99	0:0.99	0:1.00	0:1.00
318	0:1.00	0:0.98	0:0.99	0:1.00	1:0.99	0:0.99	0:0.99	0:1.00	1:1.00	0:0.99	0:1.00	0:0.99
324	0:0.97	0:1.00	0:0.96	0:0.97	1:0.95	0:0.99	0:0.99	0:0.97	1:0.95	0:0.99	0:0.97	0:0.97
326	0:0.99	0:1.00	0:1.00	0:1.00	1:0.96	0:0.99	0:0.99	0:1.00	1:0.97	0:0.99	0:0.99	0:0.99
333	1:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.98	0:0.99	0:1.00	0:0.99	0:0.99
372	1:0.98	0:0.99	0:0.98	0:0.99	0:0.98	0:0.99	0:1.00	0:0.99	0:0.99	1:0.99	0:0.99	0:0.98
373	1:0.99	0:0.99	0:1.00	0:0.99	1:0.99	0:1.00	0:1.00	0:1.00	1:0.99	1:0.98	0:1.00	0:1.00
387	1:0.99	0:0.99	0:0.99	0:0.99	1:0.99	0:0.99	0:0.98	0:1.00	0:0.99	1:0.99	0:0.98	0:0.99
393	0:0.99	0:1.00	0:0.99	0:0.99	1:0.98	0:0.99	0:0.99	0:1.00	1:0.98	0:0.99	0:0.99	0:0.99
397	0:0.98	0:1.00	0:0.98	0:0.99	1:0.97	0:0.99	0:0.98	0:1.00	0:0.98	0:0.99	0:0.99	0:0.99
405	1:0.99	0:0.99	0:1.00	0:0.99	1:0.99	0:1.00	0:0.99	0:0.99	1:0.99	1:1.00	0:0.99	0:0.99
416	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.69	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00
420	1:0.98	0:0.99	0:0.99	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.98
426	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.98	0:0.99	1:0.99	0:0.99	0:0.99
432	1:0.96	0:0.99	0:0.99	0:0.98	1:0.92	0:1.00	0:0.98	0:0.99	1:0.95	1:0.92	0:0.98	0:0.99
437	0:0.99	0:0.98	0:0.99	0:0.99	1:0.99	0:0.99	0:0.99	0:0.98	0:0.99	1:0.98	0:0.99	0:0.99
447	0:0.99	0:0.99	0:0.99	0:1.00	1:0.99	0:0.99	0:0.99	0:0.98	0:1.00	0:0.99	0:1.00	0:1.00
