Contig:MEG_1995xxDrugsxxbetalactamsxxClass_C_betalactamasesxxCMY,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8
47	0:1.00	1:0.97	0:1.00	1:1.00	1:0.98	0:0.98	1:1.00	0:1.00	-
97	0:0.99	1:0.97	0:1.00	1:1.00	1:0.97	0:0.97	1:1.00	0:0.97	-
304	0:0.98	1:0.99	0:0.98	1:0.98	1:0.98	0:0.99	1:0.98	0:0.99	1:0.99
341	0:0.97	1:0.97	0:0.97	1:0.97	1:0.98	0:0.97	1:0.96	0:0.98	1:0.97
367	0:0.98	0:1.00	0:0.98	0:1.00	0:0.98	0:0.97	1:1.00	0:0.98	1:1.00
483	0:1.00	1:1.00	0:1.00	0:1.00	1:0.99	0:1.00	1:0.96	0:1.00	1:0.97
691	0:0.99	1:0.99	0:0.99	1:0.99	1:0.98	0:0.99	1:0.98	0:0.98	1:0.97
699	0:1.00	1:0.96	0:1.00	1:0.97	1:0.96	0:1.00	1:0.96	0:1.00	1:0.97
700	0:1.00	1:1.00	0:1.00	1:1.00	1:0.99	0:1.00	1:1.00	0:1.00	1:0.99
817	0:1.00	1:0.99	0:0.99	1:1.00	1:0.99	0:0.99	1:0.99	0:1.00	1:0.99
850	0:0.99	1:0.97	0:0.99	1:0.97	1:0.97	0:0.99	1:0.97	0:0.99	1:0.97
883	0:0.99	1:0.95	0:1.00	1:0.95	1:0.95	0:1.00	1:0.95	0:1.00	1:0.94
886	0:0.99	1:0.93	0:0.99	1:0.94	1:0.95	0:1.00	1:0.93	0:0.99	1:0.93
944	0:1.00	0:1.00	1:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00
950	0:1.00	1:0.95	0:0.99	1:0.95	1:0.96	0:0.98	1:0.95	0:0.99	1:0.94
1056	0:1.00	1:0.99	1:1.00	1:0.99	1:1.00	1:1.00	1:1.00	1:0.99	0:1.00
1081	0:1.00	1:0.99	0:1.00	1:0.98	1:0.99	0:1.00	1:0.99	0:1.00	1:0.99
1128	0:1.00	0:1.00	0:1.00	0:1.00	1:1.00	0:1.00	0:1.00	0:1.00	0:1.00
1204	0:1.00	1:0.97	0:0.99	1:0.98	1:0.97	0:0.98	1:0.98	0:0.99	1:0.97
1209	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	1:1.00	0:1.00
1211	0:0.97	1:0.99	0:0.97	1:1.00	1:0.99	0:0.98	1:0.99	0:0.98	1:0.99
1212	0:1.00	1:0.97	0:1.00	1:0.96	1:0.98	0:1.00	1:0.99	0:1.00	1:0.96
1216	0:1.00	1:0.93	0:1.00	1:0.93	1:0.94	0:1.00	1:0.95	0:1.00	1:0.94
1217	0:1.00	1:0.95	0:1.00	1:0.96	1:0.95	0:1.00	1:0.96	0:1.00	1:0.95
1219	0:1.00	1:0.99	0:0.99	1:0.99	1:0.99	0:1.00	1:0.98	0:1.00	1:1.00
1220	0:0.99	1:0.98	0:0.99	1:0.98	1:0.99	0:0.99	1:0.98	0:0.99	1:0.98
1222	0:0.98	1:0.98	0:0.99	1:0.99	1:0.99	0:0.98	1:0.99	0:0.99	1:0.99
