Contig:MEG_2911xxDrugsxxPhenicolxxPhenicol_resistance_MFS_efflux_pumpsxxFLOR,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10
26	1:0.99	1:0.99	1:0.98	1:0.99	1:0.98	1:0.82	1:0.98	1:0.99	1:0.99	1:0.99	1:0.99
96	1:0.96	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00
105	0:0.99	0:0.99	0:1.00	0:1.00	1:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00
175	0:1.00	0:1.00	0:1.00	0:1.00	1:0.98	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99
387	0:1.00	0:1.00	1:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.98	0:0.98	0:1.00
393	0:0.99	0:0.99	1:0.98	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.97	0:0.99	0:1.00
398	0:1.00	0:0.99	1:0.96	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00
402	0:1.00	0:0.99	1:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99
405	0:0.99	0:0.99	1:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00
411	0:0.99	0:0.99	1:0.98	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:0.98	0:0.99
426	0:0.99	0:0.99	1:0.98	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00
441	0:1.00	1:1.00	1:0.98	1:0.98	0:0.99	0:1.00	1:0.98	1:1.00	1:0.98	1:0.98	0:1.00
447	0:0.99	0:0.99	1:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99
462	0:0.99	0:0.99	1:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.96	0:0.98	0:1.00
468	0:0.99	0:1.00	1:0.98	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99
471	0:1.00	0:0.99	1:0.98	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.96	0:0.97	0:0.99
474	0:0.99	0:0.99	1:0.97	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:0.98	0:0.98	0:0.99
479	0:0.99	0:1.00	0:0.99	1:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	1:1.00	0:1.00
481	0:1.00	0:0.99	1:0.98	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99
495	0:0.99	0:0.99	1:0.98	0:1.00	0:0.99	0:0.98	0:0.99	0:0.99	0:0.98	0:0.98	0:0.99
498	0:0.99	0:1.00	1:0.98	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.98	0:0.98	0:0.99
506	0:1.00	0:0.99	1:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99
517	0:1.00	0:1.00	1:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.98	0:1.00
519	0:0.99	0:0.99	1:0.95	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00
522	0:0.99	0:1.00	1:0.98	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99
523	0:1.00	0:0.99	1:0.97	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99
528	0:0.99	0:1.00	1:0.97	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00
529	0:1.00	0:1.00	1:0.98	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00
530	0:0.99	0:1.00	1:0.98	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00
531	0:0.99	0:1.00	1:0.98	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00
533	0:0.99	1:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00
534	0:0.99	0:0.99	1:0.96	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99
538	0:0.99	0:0.99	1:0.98	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99
540	0:1.00	0:0.99	1:0.97	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00
542	0:0.99	0:1.00	1:0.98	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99
550	0:1.00	0:1.00	1:0.94	0:0.98	0:0.99	0:1.00	0:0.99	0:0.99	0:0.98	0:0.98	0:0.98
552	0:0.99	0:0.99	1:0.97	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99
558	0:0.99	0:1.00	1:0.97	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99
619	0:0.99	1:0.97	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00
671	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	1:1.00
675	1:0.96	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00
683	0:1.00	1:0.97	0:0.99	1:0.97	0:0.99	0:1.00	1:0.96	0:1.00	1:1.00	1:0.95	0:1.00
718	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	1:1.00	0:1.00	0:1.00	0:1.00	0:0.99
798	0:0.99	0:1.00	0:1.00	0:1.00	1:0.98	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99
943	1:0.99	1:1.00	1:0.98	1:0.99	1:0.99	1:0.83	1:0.99	1:0.99	1:0.98	1:0.99	1:0.98
1070	0:1.00	0:0.99	0:1.00	0:0.99	1:0.98	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99
