Contig:MEG_4311xxDrugsxxMultixxdrug_resistancexxMultixxdrug_ABC_efflux_pumpsxxOPTRA,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6
7	1:1.00	0:1.00	1:0.97	1:0.97	1:0.83	1:0.96	1:0.96
51	0:0.96	0:0.96	0:0.95	0:0.94	0:0.96	0:0.94	0:0.96
119	1:1.00	1:0.94	1:0.97	1:0.99	0:0.93	1:0.99	1:0.99
335	0:1.00	0:1.00	0:1.00	1:0.95	0:1.00	0:1.00	0:1.00
526	1:0.99	0:0.99	0:0.97	0:0.99	0:0.99	1:1.00	0:0.99
766	0:0.98	0:1.00	1:0.99	0:0.98	0:0.99	0:1.00	0:0.98
849	1:0.98	0:1.00	1:0.96	1:0.97	1:0.91	1:0.97	0:1.00
1178	1:0.98	1:1.00	1:0.93	1:0.99	0:1.00	1:0.99	0:0.99
1533	1:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00
1779	1:0.97	1:0.97	1:0.94	0:1.00	1:0.96	0:1.00	0:0.99
1833	1:0.98	1:0.97	1:0.99	0:1.00	1:0.98	0:0.99	0:1.00
1866	0:0.97	0:0.80	0:0.97	0:0.99	0:0.97	0:0.98	1:0.74
