Contig:MEG_1666xxDrugsxxbetalactamsxxClass_B_betalactamasesxxCFIA,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5
76	0:0.97	0:0.97	0:0.96	1:0.99	0:0.96	0:0.96
81	1:0.99	0:1.00	0:0.99	0:1.00	1:0.99	0:0.99
168	1:0.97	0:0.99	0:0.98	0:0.99	1:0.97	0:0.98
189	1:1.00	0:1.00	0:1.00	0:0.99	1:0.99	0:1.00
236	1:0.97	0:0.97	0:0.98	0:1.00	1:0.98	0:0.98
252	1:0.94	0:0.99	0:1.00	0:0.99	1:0.92	0:1.00
253	1:0.96	0:0.99	0:0.99	0:1.00	1:0.97	0:0.99
255	1:0.98	0:0.98	0:0.98	0:1.00	1:0.98	0:0.97
338	1:0.93	0:0.97	0:0.98	0:0.99	1:0.94	0:0.97
357	0:0.98	0:0.99	0:0.98	1:0.99	0:0.99	0:0.98
360	1:0.95	0:0.99	0:0.99	0:1.00	1:0.94	0:0.99
396	1:0.99	0:1.00	0:0.99	1:0.98	1:0.99	0:1.00
441	1:0.94	1:0.92	1:0.96	1:0.92	1:0.92	0:0.99
442	1:0.88	1:0.89	1:0.92	1:0.91	1:0.89	0:0.99
465	1:0.95	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00
483	1:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99
591	1:0.99	0:0.98	0:0.98	0:1.00	0:0.98	0:0.98
651	0:0.99	0:0.99	0:0.99	0:0.99	1:1.00	0:0.98
738	1:0.96	1:0.96	1:0.96	1:0.95	0:1.00	0:0.97
740	0:0.99	1:1.00	0:1.00	0:0.99	0:0.98	0:0.98
