Contig:MEG_1666xxDrugsxxbetalactamsxxClass_B_betalactamasesxxCFIA,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5
76	0:0.97	0:0.96	0:0.95	0:0.96	0:0.97	1:0.99
81	1:0.99	0:0.99	0:0.99	1:0.99	0:1.00	0:1.00
168	1:0.97	0:0.98	0:0.98	1:0.97	0:0.99	0:0.99
189	1:1.00	0:1.00	0:1.00	1:0.99	0:1.00	0:0.99
236	1:0.97	0:0.98	0:0.98	1:0.98	0:0.97	0:1.00
252	1:0.94	0:1.00	0:1.00	1:0.92	0:0.99	0:0.99
253	1:0.96	0:0.99	0:0.99	1:0.97	0:0.99	0:1.00
255	1:0.98	0:0.97	0:0.98	1:0.98	0:0.98	0:1.00
338	1:0.93	0:0.97	0:0.97	1:0.94	0:0.97	0:0.99
357	0:0.98	0:0.98	0:0.98	0:0.99	0:0.99	1:0.99
360	1:0.95	0:0.99	0:0.99	1:0.94	0:0.99	0:1.00
396	1:0.99	0:1.00	0:0.99	1:0.99	0:1.00	1:0.98
441	1:0.94	0:0.99	1:0.96	1:0.92	1:0.92	1:0.92
442	1:0.88	0:0.99	1:0.93	1:0.89	1:0.89	1:0.91
465	1:0.95	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99
483	1:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00
591	1:0.99	0:0.98	0:0.99	0:0.98	0:0.98	0:1.00
651	0:0.99	0:0.98	0:0.99	1:1.00	0:0.99	0:0.99
738	1:0.96	0:0.97	1:0.87	0:1.00	1:0.96	1:0.95
740	0:0.99	0:0.98	0:1.00	0:0.98	1:1.00	0:0.99
