Contig:MEG_2164xxDrugsxxbetalactamsxxClass_A_betalactamasesxxCTX,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11	Haplotype:12	Haplotype:13
21	1:0.99	0:1.00	0:1.00	1:0.99	0:0.99	1:0.99	0:1.00	0:1.00	0:1.00	0:1.00	1:0.99	0:0.99	0:0.99	0:1.00
43	0:1.00	0:1.00	0:1.00	0:1.00	1:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00
92	0:0.98	0:0.98	0:0.99	0:0.99	0:0.98	0:0.98	0:0.99	1:0.98	0:0.99	0:1.00	0:0.99	0:0.98	0:0.99	0:0.98
138	1:0.90	0:1.00	0:0.99	1:1.00	0:1.00	1:0.99	0:1.00	1:0.99	0:0.99	1:0.99	0:1.00	0:0.99	0:1.00	0:0.99
139	1:0.93	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99
147	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	1:0.97	1:0.97	0:0.99	0:0.99	0:0.99
165	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99	0:0.98	0:0.98	1:0.95	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.98
168	0:0.99	0:0.99	0:0.99	0:0.99	0:0.98	0:0.99	0:0.99	1:0.97	0:1.00	1:0.98	1:0.96	0:0.99	0:0.99	0:0.99
207	0:0.98	0:0.98	0:0.99	0:1.00	0:0.98	0:0.99	0:0.99	0:0.98	0:0.93	1:0.95	1:0.93	0:0.99	0:0.99	0:0.99
208	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	1:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99
239	1:0.98	0:0.99	0:1.00	1:0.97	0:0.99	1:0.97	1:1.00	1:0.97	0:0.98	0:1.00	0:0.98	1:0.96	0:1.00	0:0.98
275	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	1:0.96	1:0.95	0:1.00	0:0.99	0:0.99
313	0:0.99	0:0.99	0:1.00	1:0.89	0:0.99	1:0.89	0:0.98	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99
315	0:0.99	0:0.99	0:0.99	1:0.92	0:0.99	1:0.91	0:1.00	1:0.96	0:0.99	1:0.95	1:0.98	0:1.00	0:0.99	0:0.99
342	0:0.98	0:0.97	0:0.98	0:0.98	0:0.99	0:0.98	0:1.00	1:0.97	0:0.99	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99
349	0:0.97	0:0.98	0:0.97	1:0.93	0:0.97	1:0.91	0:0.97	0:0.97	0:0.97	0:1.00	0:0.96	0:0.98	0:0.99	0:0.97
375	0:0.98	0:0.98	0:0.99	0:0.98	0:0.97	0:0.97	0:0.98	1:0.93	0:0.98	0:0.99	0:0.97	0:0.98	0:0.99	0:0.98
427	0:0.99	0:1.00	0:1.00	1:0.98	0:0.99	1:0.98	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00
453	0:0.98	0:0.99	0:1.00	0:0.99	0:0.98	0:0.98	0:0.97	1:0.97	0:0.99	0:0.99	0:0.99	0:0.98	0:0.99	0:0.97
508	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	1:0.96
539	0:0.96	0:0.98	0:1.00	0:0.97	0:0.97	0:0.97	0:1.00	0:0.98	0:0.97	0:0.99	0:0.97	1:1.00	0:1.00	0:0.97
582	0:1.00	0:1.00	0:0.99	1:0.98	0:1.00	1:0.97	0:0.99	1:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00
609	0:0.97	0:0.98	0:1.00	1:0.97	0:0.97	1:0.97	0:0.96	1:0.97	0:0.97	0:0.99	0:0.97	0:0.98	0:0.99	0:0.97
678	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	1:0.99	0:1.00	0:1.00	0:1.00	0:1.00
694	0:0.99	1:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99
721	1:0.99	1:0.97	1:0.98	1:0.99	1:0.98	1:0.99	1:0.98	1:0.99	1:0.99	1:0.98	1:0.99	1:0.99	0:1.00	1:0.98
725	0:0.99	0:0.98	1:1.00	1:1.00	1:0.99	0:1.00	1:0.99	1:1.00	1:1.00	1:0.99	0:0.99	1:0.99	0:1.00	0:0.99
732	0:0.99	0:1.00	0:1.00	0:0.98	0:0.99	0:0.99	0:0.99	1:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99
741	0:0.98	0:0.99	0:1.00	0:0.99	0:0.97	0:0.98	0:1.00	0:0.99	0:0.99	1:0.99	0:0.99	0:0.99	0:1.00	0:0.99
840	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.98	0:0.99	0:0.99	0:0.99	0:0.99
865	1:0.97	0:0.97	0:0.99	1:0.96	0:0.95	1:0.98	0:0.96	0:0.96	0:0.95	0:1.00	0:0.95	0:0.96	0:0.99	0:0.96
