Contig:MEG_1995xxDrugsxxbetalactamsxxClass_C_betalactamasesxxCMY,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8
47	0:1.00	0:1.00	1:0.99	1:0.99	1:1.00	0:0.99	0:1.00	0:1.00	-
97	0:0.99	1:0.76	1:0.97	1:0.98	1:1.00	0:0.98	1:0.93	0:1.00	-
304	0:0.99	1:0.99	1:0.98	1:0.98	1:0.98	0:0.99	0:0.98	0:0.98	1:0.99
341	0:0.98	1:0.98	1:0.98	1:0.98	1:0.98	0:0.98	0:0.97	0:0.97	1:0.98
367	0:0.98	0:1.00	0:1.00	0:0.98	1:1.00	0:0.97	0:0.98	0:0.99	1:1.00
483	0:1.00	0:1.00	1:0.99	1:0.98	1:0.96	0:1.00	0:1.00	0:1.00	1:0.99
691	0:0.99	1:0.97	1:0.98	1:0.98	1:0.97	0:0.99	0:0.99	0:0.98	1:1.00
699	0:0.99	1:0.97	1:0.98	1:0.97	1:0.95	0:1.00	0:1.00	0:1.00	1:0.97
700	0:1.00	1:1.00	1:1.00	1:1.00	1:0.99	0:1.00	0:0.99	0:1.00	1:1.00
817	0:0.99	1:0.99	1:0.99	1:1.00	1:0.99	0:1.00	0:1.00	0:1.00	1:0.99
850	0:0.99	1:0.97	1:0.97	1:0.97	1:0.98	0:0.99	0:0.99	0:0.99	1:0.98
882	0:1.00	1:0.57	1:0.60	1:0.62	1:0.69	0:1.00	0:1.00	0:0.99	1:0.61
883	0:1.00	1:0.96	1:0.94	1:0.95	1:0.95	0:1.00	0:1.00	0:1.00	1:0.95
886	0:0.99	1:0.95	1:0.94	1:0.94	1:0.91	0:0.99	0:0.99	0:0.99	1:0.95
944	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	1:0.99	0:1.00	0:1.00
950	0:0.99	1:0.94	1:0.93	1:0.95	1:0.95	0:0.99	0:1.00	0:1.00	1:0.97
1056	0:1.00	1:0.99	1:0.99	1:0.99	1:1.00	1:0.99	1:0.99	1:1.00	0:1.00
1081	0:1.00	1:0.99	1:0.99	1:0.98	1:0.99	0:0.99	0:1.00	0:1.00	1:0.98
1128	0:1.00	0:1.00	0:1.00	1:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99
1204	0:0.99	1:0.96	1:0.97	1:0.96	1:0.98	0:0.99	0:0.99	0:0.99	1:0.98
1209	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	1:1.00	0:1.00	0:1.00	0:1.00
1211	0:0.98	1:0.99	1:0.98	1:0.98	1:1.00	0:0.98	0:0.97	0:0.98	1:0.99
1212	0:1.00	1:0.95	1:0.97	1:0.96	1:0.96	0:1.00	0:1.00	0:1.00	1:0.95
1216	0:1.00	1:0.93	1:0.93	1:0.91	1:0.90	0:1.00	0:1.00	0:1.00	1:0.92
1217	0:1.00	1:0.97	1:0.95	1:0.96	1:0.91	0:1.00	0:1.00	0:1.00	1:0.95
1219	0:1.00	1:0.98	1:0.98	1:0.99	1:0.98	0:1.00	0:1.00	0:1.00	1:0.99
1220	0:0.99	1:0.97	1:0.97	1:0.98	1:0.96	0:0.99	0:0.99	0:0.99	1:0.98
1222	0:0.99	1:0.98	1:0.99	1:0.99	1:0.98	0:0.99	0:0.98	0:0.99	1:1.00
