Contig:MEG_8097xxDrugsxxbetalactamsxxClass_C_betalactamasesxxFOX,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2
12	1:0.99	1:1.00	0:0.99
49	1:0.98	1:0.99	0:0.98
81	1:0.97	1:0.98	0:0.99
85	1:0.99	1:0.99	0:1.00
94	1:0.98	1:0.98	0:0.99
128	1:0.99	1:1.00	0:0.99
147	1:0.99	1:1.00	0:0.99
174	1:0.99	1:0.98	0:0.99
207	1:0.98	1:0.99	0:1.00
273	1:0.98	1:0.96	0:0.98
294	1:0.97	1:0.97	0:0.99
314	1:0.99	1:0.97	0:1.00
433	1:0.96	1:0.96	0:0.99
458	1:0.98	1:0.99	0:0.99
459	1:0.99	1:0.99	0:1.00
495	1:0.96	1:0.96	0:1.00
501	1:0.99	1:0.99	0:0.99
528	1:0.99	1:0.99	0:0.97
636	1:0.98	1:0.98	0:0.99
648	1:0.97	1:0.99	0:0.99
653	1:0.97	1:0.96	0:0.98
691	1:0.97	1:0.97	0:0.99
717	1:0.98	1:0.97	0:0.97
742	1:0.97	1:0.97	0:1.00
799	1:0.94	1:0.95	0:1.00
800	1:0.97	1:0.97	0:0.99
813	1:0.90	1:0.88	0:0.97
822	1:1.00	0:1.00	0:0.98
849	1:0.94	1:0.95	0:0.98
852	1:0.97	1:0.98	0:1.00
864	1:0.95	1:0.97	0:1.00
884	1:1.00	1:0.99	0:0.99
891	1:0.96	1:0.95	0:0.99
894	1:0.97	1:0.98	0:0.99
904	1:0.98	1:0.98	0:1.00
905	1:0.97	1:0.97	0:0.97
906	1:0.98	1:0.98	0:0.99
907	1:0.97	1:0.96	0:0.99
918	1:0.99	1:0.98	0:0.99
922	1:0.98	1:0.99	0:0.99
924	1:0.96	1:0.96	0:0.99
975	1:0.96	1:0.95	0:0.99
