Contig:MEG_5964xxDrugsxxFluoroquinolonesxxQuinolone_resistance_protein_QnrxxQNRB,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11
19	0:0.97	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	1:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00
48	1:1.00	1:0.97	1:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.98	0:0.98	0:0.99	0:1.00
49	0:1.00	0:0.99	0:0.98	0:1.00	1:0.98	0:1.00	0:0.99	1:0.84	0:1.00	0:0.97	0:0.99	0:0.99
153	0:1.00	0:0.99	0:0.98	1:1.00	0:0.99	0:1.00	0:0.99	0:0.98	0:1.00	0:0.97	0:0.98	0:0.98
185	1:0.84	1:0.95	1:0.94	0:1.00	0:1.00	1:1.00	0:1.00	0:0.99	0:1.00	0:0.99	1:0.91	1:0.93
190	1:1.00	1:0.98	1:0.97	1:0.94	1:0.99	1:0.83	1:0.99	1:0.98	0:1.00	1:0.95	1:0.99	1:0.99
270	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:0.98	1:1.00	0:0.99
320	0:1.00	0:1.00	0:1.00	0:0.98	0:0.99	0:0.91	1:0.98	0:0.99	0:0.99	0:0.97	0:0.99	0:0.99
321	0:0.96	0:0.99	0:0.99	0:0.99	1:0.98	0:0.97	0:1.00	0:0.99	0:0.99	0:0.99	0:0.98	0:0.99
439	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:0.96	0:0.99	0:1.00	0:0.99	1:0.97	0:0.99	0:0.99
453	0:0.96	0:0.99	0:1.00	0:0.98	0:0.98	0:1.00	1:0.98	0:0.99	0:0.99	1:0.97	0:0.99	0:0.99
474	0:1.00	0:0.99	0:0.98	0:0.98	0:0.97	0:0.97	1:0.97	0:0.98	0:0.98	1:0.95	0:0.98	0:0.97
557	0:1.00	1:1.00	0:1.00	0:0.98	0:0.98	0:0.94	0:0.97	0:1.00	0:0.99	0:0.98	0:0.98	0:1.00
633	1:1.00	1:0.98	0:1.00	0:1.00	1:0.97	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	1:0.99
634	0:1.00	0:1.00	0:0.99	0:1.00	1:0.99	0:0.97	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00
636	1:0.97	1:0.98	0:0.98	0:0.98	2:0.99	0:1.00	0:0.99	0:0.98	0:0.98	0:1.00	0:0.98	1:0.99
642	0:1.00	0:1.00	0:1.00	0:1.00	1:0.97	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00
