Contig:MEG_4362xxMultixxcompoundxxDrug_and_biocide_resistancexxDrug_and_biocide_RND_efflux_pumpsxxOQXB,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10
90	1:0.98	0:1.00	1:0.99	0:0.99	1:0.99	0:1.00	0:0.89	0:0.99	1:0.99	1:0.97	1:0.99
117	0:1.00	0:1.00	1:0.96	0:0.99	0:0.98	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99
150	0:0.99	0:1.00	0:1.00	0:0.99	0:0.97	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	1:0.97
291	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	1:0.95	0:1.00	0:0.99	0:1.00
294	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	1:0.97	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99
336	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	1:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99
348	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	1:0.94	0:0.99	0:0.99	0:0.99
357	0:1.00	1:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	1:0.68	0:1.00	0:0.99
384	0:1.00	0:1.00	0:0.99	0:1.00	0:0.98	1:0.96	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99
399	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	1:0.98	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99
435	1:0.96	0:0.99	0:0.99	0:1.00	1:0.91	0:1.00	0:0.97	0:1.00	0:1.00	1:0.96	0:1.00
438	1:0.99	0:0.99	0:0.99	0:0.99	1:0.97	0:1.00	0:1.00	0:1.00	0:0.98	1:0.99	0:0.99
441	1:1.00	0:0.99	0:0.99	0:1.00	1:0.99	0:0.99	0:1.00	0:0.99	0:1.00	1:0.99	0:0.99
442	1:0.99	0:1.00	0:1.00	0:1.00	1:0.99	0:1.00	0:0.97	0:1.00	0:0.99	1:1.00	0:1.00
443	1:0.99	0:0.99	0:0.99	0:0.99	1:0.99	0:1.00	0:1.00	0:0.99	0:0.99	1:0.99	0:1.00
447	0:0.99	1:0.96	1:0.95	0:0.99	0:0.99	1:0.97	0:0.86	1:0.97	1:0.96	0:0.99	0:0.99
522	0:1.00	1:0.98	0:1.00	0:1.00	0:0.96	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99
552	0:1.00	1:0.98	0:1.00	0:1.00	0:0.97	0:1.00	0:0.98	0:1.00	0:1.00	0:0.99	0:1.00
591	0:1.00	0:1.00	0:0.99	0:0.99	1:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99
609	1:0.98	1:0.98	0:0.99	0:0.98	1:0.97	1:0.98	0:0.94	1:0.98	1:0.98	1:0.97	1:0.97
669	1:0.99	1:0.98	1:0.98	0:0.95	1:0.95	1:0.98	1:0.93	1:0.98	1:0.99	1:0.99	1:0.98
723	0:0.99	1:0.98	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99
789	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	1:0.97	0:1.00
795	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	1:0.98	0:1.00
807	0:0.99	0:0.99	0:1.00	0:0.99	1:0.55	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00
828	0:1.00	0:0.99	0:0.99	0:0.98	0:0.99	1:0.97	1:0.97	1:0.99	1:0.98	0:1.00	0:0.99
870	0:0.99	0:0.99	0:0.99	0:0.99	0:0.95	1:0.98	0:0.97	0:0.99	0:0.98	0:0.99	0:1.00
891	0:0.98	1:0.98	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99
921	1:0.98	1:0.98	1:0.98	0:0.98	1:0.89	1:0.99	1:0.89	1:0.98	1:0.75	1:0.99	1:0.98
946	0:0.99	0:1.00	0:1.00	0:0.99	1:0.51	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99
1041	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	1:0.98	1:0.76	0:1.00	0:0.99
1114	1:0.99	1:0.97	1:0.97	0:1.00	0:1.00	1:0.97	0:1.00	1:0.97	0:1.00	1:0.97	1:0.98
1122	0:1.00	0:1.00	1:0.98	0:1.00	1:0.79	0:0.99	0:0.79	1:0.99	1:0.96	0:0.99	0:0.99
1212	1:0.99	0:0.99	1:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	1:0.99	0:1.00
1215	1:0.98	0:0.99	1:0.98	0:0.99	0:0.97	0:0.99	0:0.99	0:1.00	0:1.00	1:0.98	0:1.00
1284	1:0.99	0:1.00	1:0.98	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	1:0.98	0:0.99
1308	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00
1342	1:0.99	1:0.98	1:0.99	1:0.79	1:0.93	1:0.99	1:0.99	1:0.98	1:0.99	1:0.98	1:0.98
1362	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	1:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99
1398	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.97	0:0.99	0:1.00	0:0.99
1503	1:0.99	0:0.96	0:0.99	0:0.92	0:0.99	0:0.99	0:0.96	1:0.99	0:0.86	1:0.99	0:0.99
1508	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	1:0.96
1545	1:0.97	0:0.96	1:0.98	0:0.92	0:0.99	0:1.00	1:0.98	0:0.99	0:0.87	1:0.99	1:0.98
1611	1:0.98	0:0.99	1:0.99	0:0.99	0:0.99	0:0.99	1:0.98	1:0.98	0:1.00	1:0.98	1:0.99
1617	1:0.90	0:0.99	1:0.93	0:0.99	0:0.99	0:1.00	1:0.96	1:0.93	0:0.99	1:0.93	1:0.93
1618	1:0.90	0:0.99	1:0.92	0:1.00	0:0.99	0:0.99	1:0.90	1:0.92	0:1.00	1:0.90	1:0.92
1626	1:0.99	0:0.99	1:0.99	0:0.99	0:1.00	0:0.99	1:0.98	1:0.98	0:1.00	1:0.98	1:0.98
1629	1:0.97	0:1.00	1:0.95	0:0.99	0:0.99	0:1.00	1:0.98	1:0.95	0:1.00	1:0.97	1:0.97
1644	1:0.98	0:0.99	1:0.99	0:1.00	0:0.99	0:1.00	1:1.00	1:0.99	0:1.00	1:0.99	1:0.98
1653	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.98	0:1.00	0:1.00	0:1.00	1:0.98
1659	1:0.98	0:0.99	1:0.98	0:0.99	0:1.00	0:1.00	1:0.97	1:0.98	0:0.99	1:0.98	1:0.98
1686	0:0.99	0:1.00	0:1.00	0:0.99	0:0.98	0:0.99	0:1.00	1:0.99	0:1.00	0:1.00	0:0.99
1697	1:0.99	0:0.99	1:0.98	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	1:0.98	0:0.99
1703	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	1:0.75	0:1.00
1960	0:0.99	1:0.86	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99
1968	0:0.99	0:0.99	0:0.99	0:0.99	0:0.97	0:0.99	0:1.00	1:0.98	0:0.99	0:1.00	0:0.99
2007	1:0.96	1:0.91	1:0.98	0:1.00	0:0.99	0:0.99	1:0.94	1:0.95	1:0.95	1:0.96	1:0.97
2034	1:0.98	0:0.92	1:0.98	0:0.99	0:1.00	1:0.98	1:0.97	1:0.98	1:0.98	1:0.98	1:0.99
2079	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	1:0.99	1:0.99	0:1.00	1:0.76	0:1.00
2083	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	1:0.98	0:0.99	0:0.99	0:0.99
2124	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.98	0:0.99	0:1.00	1:0.73	0:0.99
2247	1:0.98	1:0.99	1:0.99	0:0.63	0:1.00	0:0.99	0:0.98	1:0.99	1:0.97	1:0.99	1:0.99
2250	1:0.99	1:0.99	1:0.98	0:0.62	0:0.99	0:1.00	0:1.00	1:0.98	1:0.99	1:0.99	1:0.99
2253	0:1.00	0:0.99	0:0.99	0:0.99	0:0.98	0:0.99	0:0.98	1:0.99	0:0.99	0:1.00	0:0.99
2256	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	1:1.00	1:1.00	0:0.99	0:1.00	0:0.99	0:0.99
2337	0:0.99	0:1.00	1:0.98	0:0.97	0:0.99	0:1.00	1:0.99	0:1.00	1:0.98	0:1.00	0:1.00
2340	0:0.99	0:1.00	1:0.98	0:1.00	0:0.99	0:1.00	1:1.00	0:0.99	1:0.97	0:1.00	0:0.99
2343	0:0.99	0:1.00	1:0.97	0:1.00	0:0.99	0:0.98	1:1.00	0:0.99	1:0.98	0:1.00	0:0.99
2348	0:1.00	0:0.99	1:0.98	0:0.99	0:0.99	0:1.00	1:1.00	0:0.99	0:0.99	0:0.99	0:1.00
