Contig:MEG_4362xxMultixxcompoundxxDrug_and_biocide_resistancexxDrug_and_biocide_RND_efflux_pumpsxxOQXB,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11	Haplotype:12	Haplotype:13	Haplotype:14
90	1:0.98	1:0.96	1:0.99	0:1.00	1:0.99	1:0.99	1:0.99	0:1.00	1:0.97	0:1.00	1:0.99	0:0.90	0:1.00	0:1.00	-
117	0:1.00	0:1.00	0:0.98	0:0.99	0:1.00	1:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.97	0:1.00	0:0.99	0:1.00	-
150	0:0.99	0:1.00	0:0.96	0:1.00	1:0.98	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.95	0:1.00	0:0.99	0:1.00	-
291	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	1:0.96	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	-
294	0:0.99	0:0.98	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	1:0.97	0:1.00	-
336	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	1:0.99	0:1.00	-
348	0:1.00	0:0.98	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.95	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	-
357	0:1.00	0:1.00	0:0.99	1:0.99	0:0.99	0:0.99	1:0.98	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	-
384	0:1.00	0:0.99	0:0.98	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.97	0:1.00	1:0.96	0:1.00	0:1.00
399	0:0.99	0:0.99	0:0.98	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:0.98	0:0.97	1:0.98	0:1.00	0:1.00
435	1:0.95	0:1.00	1:0.93	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	1:0.97	0:0.84	1:0.91	0:1.00	0:1.00	0:1.00	0:1.00
438	1:0.99	0:0.99	1:0.97	0:0.99	0:0.99	0:1.00	0:0.98	0:1.00	1:0.99	0:1.00	1:0.95	0:1.00	0:1.00	0:1.00	0:1.00
441	1:1.00	0:1.00	1:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	1:0.99	0:1.00	1:0.99	0:1.00	0:0.99	0:1.00	0:1.00
442	1:0.99	0:0.99	1:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.99	0:1.00	1:0.99	0:0.99	0:1.00	0:1.00	0:1.00
443	1:0.99	0:0.99	1:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	1:0.99	0:1.00	1:0.99	0:1.00	0:1.00	0:1.00	0:1.00
447	0:0.99	1:0.96	0:0.98	1:0.96	0:0.99	1:0.95	1:0.97	1:0.97	0:1.00	0:1.00	0:0.99	0:1.00	1:0.97	0:1.00	1:1.00
