Contig:MEG_2164xxDrugsxxbetalactamsxxClass_A_betalactamasesxxCTX,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11	Haplotype:12
21	0:0.99	0:0.99	0:1.00	1:0.98	0:1.00	0:1.00	0:1.00	0:1.00	1:0.98	0:0.99	1:0.98	0:1.00	1:0.98
43	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	1:1.00	0:1.00	0:1.00	0:1.00
92	0:0.98	0:0.99	0:0.99	0:0.98	0:0.99	1:0.99	0:0.99	0:0.97	0:0.98	0:0.98	0:0.98	0:0.98	0:0.97
138	0:1.00	1:0.99	0:0.99	1:0.99	0:0.99	1:0.98	0:0.99	0:0.99	1:0.89	0:0.99	0:1.00	0:0.99	1:1.00
139	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	1:0.91	0:0.99	0:1.00	0:1.00	0:1.00
147	0:1.00	1:0.98	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	1:0.98	0:0.99	0:1.00
168	0:0.98	1:0.99	0:0.99	0:0.99	0:1.00	1:0.95	0:0.98	0:0.98	0:0.99	0:0.99	1:0.97	0:0.99	0:0.99
207	0:0.99	1:0.96	0:0.98	0:0.99	0:1.00	0:0.98	0:0.99	0:0.94	0:0.99	0:0.99	1:0.94	0:0.99	0:0.99
208	0:0.99	0:0.98	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	1:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99
239	0:0.98	0:1.00	0:0.99	1:0.98	0:1.00	1:0.98	1:0.98	0:0.98	1:0.97	0:0.99	0:0.98	0:0.99	1:0.98
275	0:0.99	1:0.98	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:0.98	0:0.99	0:0.99	1:0.96	0:0.99	0:0.99
313	0:1.00	0:1.00	0:0.99	1:0.90	0:0.98	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.91
315	0:0.99	1:0.97	0:0.99	1:0.92	0:0.99	1:0.97	0:0.99	0:0.99	0:1.00	0:1.00	1:0.96	0:0.99	1:0.92
342	0:0.98	0:0.99	0:0.99	0:0.99	0:0.99	1:0.97	0:0.99	0:1.00	0:0.99	0:0.98	0:0.98	0:0.99	0:0.99
349	0:0.96	0:1.00	0:0.96	1:0.95	0:0.99	0:0.95	0:0.96	0:0.97	0:0.97	0:0.97	0:0.97	0:1.00	1:0.93
370	0:0.97	0:1.00	0:0.95	0:0.96	0:1.00	0:0.95	0:0.95	0:0.94	0:0.95	0:0.95	0:0.96	0:1.00	0:0.96
375	0:0.97	0:0.99	0:0.98	0:0.98	0:0.99	1:0.94	0:0.98	0:0.97	0:0.98	0:0.97	0:0.98	0:1.00	0:0.97
427	0:0.99	0:0.99	0:0.99	1:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	1:0.99
453	0:0.99	0:1.00	0:0.99	0:0.98	0:0.99	1:0.98	0:0.99	0:0.98	0:0.99	0:0.98	0:0.98	0:0.99	0:0.98
508	0:1.00	0:1.00	1:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00
539	0:0.98	0:1.00	0:0.97	0:0.97	0:0.99	0:0.99	1:0.74	0:0.98	0:0.97	0:0.97	0:0.98	0:1.00	0:0.97
582	0:1.00	0:1.00	0:1.00	1:0.97	0:1.00	1:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	1:0.98
609	0:0.97	0:0.99	0:0.98	1:0.96	0:0.99	1:0.97	0:0.97	0:0.98	0:0.97	0:0.98	0:0.97	0:0.99	1:0.97
636	0:0.98	0:0.99	0:0.99	0:0.99	0:1.00	1:0.96	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99
658	0:0.99	0:1.00	0:0.98	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.98	0:1.00	0:0.99	1:1.00	0:0.98
678	0:1.00	1:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99
694	1:1.00	0:0.98	0:1.00	0:0.98	0:1.00	0:0.98	0:0.99	0:1.00	0:0.98	0:0.99	0:0.99	0:0.99	0:0.99
721	1:0.98	1:0.99	1:0.99	1:0.99	0:1.00	1:0.99	1:0.99	1:0.99	1:1.00	1:0.99	1:0.99	1:0.98	1:0.99
725	0:1.00	1:0.98	0:0.98	1:1.00	0:0.99	1:0.99	1:0.99	1:0.99	0:0.98	1:0.99	0:0.98	1:0.97	0:1.00
732	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	1:0.97	0:0.99	0:0.98	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99
741	0:0.99	1:0.99	0:0.98	0:0.99	0:0.99	0:0.98	0:0.98	0:0.98	0:0.99	0:0.99	0:0.98	0:1.00	0:1.00
840	0:1.00	1:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.98	0:1.00	0:0.99
865	0:0.95	0:1.00	0:0.96	1:0.98	0:0.99	0:0.95	0:0.97	0:0.98	1:0.97	0:0.97	0:0.96	0:1.00	1:0.97
