Contig:MEG_7115xxDrugsxxTetracyclinesxxTetracycline_resistance_ribosomal_protection_proteinsxxTETM,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11	Haplotype:12	Haplotype:13	Haplotype:14	Haplotype:15
22	1:0.98	1:0.97	1:0.97	1:0.94	1:0.97	0:0.96	1:0.98	1:0.98	1:0.91	1:0.76	0:1.00	1:0.87	1:0.98	0:0.98	0:0.99	-
49	0:1.00	0:1.00	0:1.00	0:0.83	0:1.00	0:1.00	1:0.91	0:1.00	0:1.00	0:0.98	0:1.00	0:1.00	0:1.00	0:1.00	0:0.98	-
272	0:1.00	0:0.99	0:1.00	0:0.97	0:1.00	0:0.98	1:0.93	0:0.98	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:0.98	0:0.99	-
490	0:1.00	0:1.00	0:0.99	1:1.00	0:1.00	0:0.96	1:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.93	1:0.87	0:0.99	0:0.99	-
569	0:1.00	0:1.00	0:1.00	0:0.98	0:0.99	0:1.00	0:1.00	1:0.99	0:0.96	0:0.98	0:1.00	0:1.00	0:0.97	0:1.00	0:1.00	-
581	0:0.99	0:0.99	0:1.00	0:0.97	0:0.99	0:1.00	0:0.99	1:0.98	0:0.98	0:0.97	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	-
627	1:0.98	0:1.00	0:0.99	0:0.99	1:0.99	0:1.00	0:0.99	1:0.99	0:0.98	0:0.99	0:1.00	0:0.98	0:0.98	0:1.00	0:1.00	-
636	1:0.98	1:0.98	0:0.99	0:0.99	1:0.98	0:1.00	0:0.99	1:0.98	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	-
646	1:0.96	1:0.99	1:0.97	0:1.00	1:0.98	1:0.99	0:1.00	1:0.99	0:0.99	0:1.00	1:1.00	0:1.00	0:1.00	1:0.99	0:0.99	-
654	1:0.99	1:0.99	1:0.99	0:0.99	1:0.98	1:0.99	0:1.00	1:0.97	0:0.99	0:0.99	1:1.00	0:1.00	0:0.99	1:0.96	0:1.00	-
668	1:0.99	1:0.98	1:0.99	0:0.98	1:0.98	1:0.99	0:1.00	1:0.99	0:0.98	0:0.97	1:1.00	0:1.00	0:0.98	1:1.00	0:0.99	-
669	1:0.98	1:0.98	1:0.97	0:0.99	1:0.98	1:0.99	0:0.98	1:0.97	0:1.00	0:0.99	1:1.00	0:1.00	0:0.99	1:0.98	0:1.00	-
699	1:0.96	1:0.96	1:0.97	0:0.99	1:0.96	1:0.93	0:0.99	1:0.98	0:1.00	0:0.99	1:1.00	0:1.00	0:0.97	1:0.97	0:0.99	-
705	1:0.99	1:0.99	1:0.98	0:0.98	1:0.99	1:0.99	0:1.00	1:1.00	0:0.97	0:0.97	1:1.00	0:1.00	0:0.97	1:0.98	0:0.99	-
737	0:1.00	1:0.97	1:0.95	0:0.99	0:0.99	1:0.94	0:0.99	1:0.97	0:1.00	0:0.99	1:1.00	0:1.00	0:1.00	1:0.96	0:0.99	-
756	0:0.99	1:0.98	1:0.99	0:1.00	0:0.99	1:0.97	0:1.00	1:0.98	0:1.00	0:1.00	1:1.00	0:1.00	0:1.00	1:0.99	0:1.00	-
771	0:1.00	1:0.95	1:0.98	0:0.99	0:1.00	1:0.94	0:1.00	0:1.00	0:0.99	0:0.99	1:1.00	0:1.00	0:0.97	1:0.97	0:0.99	-
775	0:1.00	1:1.00	1:0.99	0:0.99	0:0.99	1:0.96	0:1.00	0:0.99	0:1.00	0:1.00	1:1.00	0:1.00	0:0.99	1:0.98	0:0.99	-
