Contig:MEG_1666xxDrugsxxbetalactamsxxClass_B_betalactamasesxxCFIA,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4
76	0:0.96	1:0.99	0:0.96	0:0.96	0:0.97
81	0:0.99	0:1.00	1:0.99	0:0.99	1:0.99
168	0:0.98	0:0.99	1:0.97	0:0.98	1:0.97
189	0:1.00	0:0.99	1:0.99	0:1.00	1:1.00
236	0:0.97	0:1.00	1:0.98	0:0.98	1:0.97
252	0:1.00	0:0.99	1:0.92	0:0.99	1:0.94
253	0:0.99	0:1.00	1:0.97	0:0.99	1:0.96
255	0:0.97	0:1.00	1:0.98	0:0.98	1:0.98
338	0:0.97	0:0.99	1:0.94	0:0.97	1:0.93
357	0:0.98	1:0.99	0:0.99	0:0.99	0:0.98
360	0:0.99	0:1.00	1:0.94	0:0.99	1:0.95
396	0:1.00	1:0.98	1:0.99	0:1.00	1:0.99
441	0:0.99	1:0.92	1:0.92	1:0.96	1:0.94
442	0:0.99	1:0.91	1:0.89	1:0.92	1:0.88
465	0:1.00	0:0.99	0:0.99	0:0.99	1:0.95
483	0:0.99	0:1.00	0:0.99	0:0.99	1:0.99
591	0:0.98	0:1.00	0:0.98	0:0.98	1:0.99
651	0:0.98	0:0.99	1:1.00	0:0.99	0:0.99
738	0:0.95	1:0.95	0:1.00	1:0.91	1:0.96
740	0:0.95	0:0.99	0:0.98	0:0.54	0:0.99
