Contig:MEG_3961xxDrugsxxbetalactamsxxClass_C_betalactamasesxxMIR,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10
36	0:0.92	0:0.94	0:0.93	0:0.93	0:0.94	0:0.94	0:1.00	0:0.99	0:0.96	0:0.96	0:0.95
43	1:0.97	1:0.95	0:0.99	1:0.97	0:0.98	0:0.98	0:0.99	1:0.98	0:0.98	1:0.96	0:0.99
48	0:0.99	0:0.98	1:0.99	0:0.99	0:0.99	1:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99
49	0:1.00	0:1.00	1:0.99	1:0.99	0:1.00	1:0.99	1:0.98	1:0.98	0:1.00	1:0.97	0:1.00
77	1:0.96	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99
120	1:0.96	1:0.94	1:0.97	1:0.96	0:0.98	1:0.97	1:0.99	1:0.99	1:0.95	1:0.97	1:0.96
266	1:0.96	0:0.99	0:0.99	0:0.99	0:0.98	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99
307	0:0.99	1:0.96	0:0.99	1:0.92	0:0.99	0:0.99	0:1.00	1:0.97	0:0.98	0:0.99	0:0.99
327	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	1:0.99	0:1.00
367	0:1.00	0:1.00	1:0.97	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00
396	1:0.99	1:0.98	1:0.99	1:0.99	0:0.99	1:0.99	1:0.98	1:0.99	1:0.99	1:0.99	1:0.99
447	0:1.00	0:0.99	1:0.98	1:0.99	0:1.00	1:0.99	1:0.99	1:0.97	1:0.97	1:0.98	1:0.97
495	0:0.99	0:0.98	0:0.99	0:0.97	0:0.98	1:0.98	0:1.00	0:1.00	0:0.98	0:0.99	0:0.99
541	0:1.00	0:0.99	1:0.99	0:1.00	0:1.00	0:1.00	0:0.99	1:0.99	0:1.00	0:1.00	0:1.00
549	0:0.99	0:0.98	0:0.99	1:0.95	0:0.99	1:0.96	1:0.96	0:1.00	1:0.96	0:0.99	1:0.96
621	0:0.99	0:1.00	0:1.00	1:0.98	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	1:0.99
709	0:0.98	0:0.99	0:0.99	0:1.00	0:0.98	0:0.98	0:0.99	0:0.99	0:0.98	1:0.96	0:0.98
714	0:0.98	0:0.98	0:0.98	0:0.98	0:0.99	0:0.99	0:0.99	0:0.99	0:0.98	1:0.98	0:0.97
760	1:0.98	0:0.99	0:0.99	1:0.98	0:0.99	1:0.98	1:0.96	0:1.00	1:0.97	0:0.99	0:0.99
790	0:0.99	0:1.00	0:0.99	0:0.98	0:0.99	0:0.99	1:0.99	0:0.99	0:0.99	0:0.99	0:0.99
792	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.98	0:0.99	1:0.99	0:1.00	0:0.99
796	0:0.98	0:0.97	0:0.98	0:0.97	0:0.97	1:0.97	0:0.99	0:1.00	0:0.97	0:0.98	0:1.00
849	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	1:0.97	0:0.99	0:0.99
852	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	1:0.98	0:1.00	0:0.99	0:0.99	1:0.98	0:0.99
865	1:0.98	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	1:0.98	0:1.00	0:1.00	0:0.99	0:0.99
867	0:0.99	1:0.98	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	1:0.98	1:0.97	0:0.99	1:0.98
975	0:0.99	0:0.98	1:0.96	0:0.99	0:0.99	0:0.98	0:0.99	0:0.99	0:0.98	0:0.99	0:0.97
978	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	1:0.99
984	1:0.96	1:0.95	1:0.96	1:0.94	0:0.99	0:0.99	1:0.97	0:0.99	1:0.95	0:0.99	1:0.96
987	1:0.98	0:0.98	0:0.98	0:0.98	0:0.98	0:0.99	0:0.98	0:0.99	1:0.99	0:0.98	0:0.99
1020	1:0.96	1:0.96	1:0.96	1:0.98	0:0.98	0:0.98	1:0.98	0:0.99	1:0.97	0:0.99	1:0.96
1077	0:0.99	1:0.95	0:0.99	0:0.98	0:0.99	0:0.98	0:1.00	0:1.00	0:0.99	0:0.99	1:0.95
1131	0:0.97	0:0.98	1:0.95	0:0.98	0:0.96	0:0.97	0:0.99	0:1.00	0:0.97	0:0.98	0:0.97
