Contig:MEG_7156xxDrugsxxTetracyclinesxxTetracycline_resistance_ribosomal_protection_proteinsxxTETO,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9
29	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	1:0.99	0:0.99	0:1.00	0:1.00	0:0.99
63	1:0.97	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99
98	1:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.97	0:0.99	0:1.00	0:0.99
112	1:0.98	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.98	0:1.00
126	0:0.99	0:0.99	1:0.96	0:1.00	0:0.99	0:0.99	0:0.99	0:0.98	0:1.00	0:0.99
231	0:0.99	0:0.99	1:0.98	0:1.00	0:0.99	0:1.00	0:0.98	0:0.99	0:1.00	0:0.99
272	0:1.00	0:1.00	0:0.99	0:1.00	1:1.00	0:1.00	0:0.98	0:0.99	0:1.00	0:1.00
273	0:0.99	0:1.00	1:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:0.97	0:0.99
353	1:0.98	0:1.00	1:0.98	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99
372	0:1.00	0:0.99	1:0.94	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.98	0:0.99
378	0:0.99	0:0.99	1:0.98	0:0.99	0:0.99	0:1.00	0:0.98	0:0.99	0:1.00	0:0.99
425	1:0.99	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00
426	1:0.99	0:0.99	1:0.98	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00
492	1:1.00	1:0.97	1:0.99	1:0.99	1:0.98	1:0.99	1:0.99	0:1.00	1:0.96	1:0.99
544	1:0.99	1:0.99	1:0.98	1:0.98	1:0.98	1:0.98	1:0.99	0:1.00	1:0.98	1:0.99
620	1:0.99	0:0.98	0:0.99	0:0.99	0:0.99	0:0.99	0:0.97	0:0.99	0:1.00	0:0.99
629	1:0.95	0:0.99	0:0.98	0:1.00	0:0.99	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99
660	1:0.98	0:0.98	0:0.99	0:0.99	0:1.00	0:0.99	0:0.97	0:1.00	0:1.00	0:0.99
680	0:0.99	1:0.83	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.96	0:1.00
692	1:0.98	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99
694	1:0.99	0:0.98	0:0.99	0:0.99	0:0.99	0:1.00	0:0.98	0:0.99	0:0.99	0:0.99
698	1:0.99	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00
699	1:0.98	0:0.99	1:0.99	0:1.00	0:1.00	0:0.99	0:0.98	0:1.00	0:1.00	0:0.99
711	1:0.96	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00
777	0:0.98	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.97	0:1.00	1:0.98	1:0.98
780	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99	0:0.99	0:0.97	0:0.99	1:0.84	1:0.88
781	0:0.99	0:0.98	0:0.99	0:0.98	0:0.99	0:1.00	0:0.98	0:0.99	1:0.84	1:0.85
786	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	1:0.98	1:0.97
788	0:0.99	0:0.98	0:1.00	0:1.00	0:1.00	0:1.00	0:0.98	0:1.00	1:0.97	1:0.99
789	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	1:0.98	1:0.99
793	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	1:0.99	1:0.95
797	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	1:0.98	1:0.99
798	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	1:0.98	1:0.99
